id,label
0,Children of the Chapel (first)
1,Children of Paul's (first)
2,Queen Elizabeth's Men
3,Derby's (Strange's) Men
4,Pembroke's Men
5,Sussex's Men
6,Lord Chamberlain's (Hunsdon's) Men
7,King's Men
8,Prince Palatine's Men
9,Admiral's (Nottingham's) Men
10,Queen Anne's Men
11,Children of Paul's (second)
12,Oxford's Men
13,Children of the Chapel (second)
14,Worcester's Men
15,Queen Henrietta Maria's Men
16,Prince Henry's Men
17,Children of the Queen's Revels
18,Children of the King's Revels
19,Prince Charles's Men (first)
20,Lady Elizabeth's Men
21,Red Bull (Revels) Company (first)
22,Prince Charles's Men (second)
23,King's Revels Company
24,Beeston's Boys
