id,label
0,Moral Interlude
1,Morality
2,Romantic Interlude
3,Comedy
4,Comic Interlude
5,Disputation
6,Interlude
7,Anti-Catholic Mystery
8,Anti-Catholic Moral
9,not in Annals
10,Tragedy
11,Biblical Interlude
12,Protestant Moral
13,Tragicomedy
14,Classical Moral
15,Moral Allegory
16,Heroical Moral
17,Moral
18,Satirical Moral
19,Entertainment
20,Tilt and Entertainment
21,Classical Legend (Comedy)
22,Classical Legend (Pastoral)
23,Civic Pageant
24,Royal Entertainment
25,Mythological Moral
26,Heroical Romance
27,History
28,Romantic Comedy
29,Biblical Moral
30,Classical History
31,Foreign History
32,Pseudo-History
33,Romance
34,Biblical History
35,Domestic Comedy
36,Pastoral
37,Coronation Entertainment
38,Masque
39,Legendary History
40,Satirical Comedy
41,Masque and Barriers
42,Wedding Masque
43,Academic Moral
44,Allegorical History
45,Topical Play
46,Domestic Drama
47,St George's Day Show
48,Classical Legend
49,Burlesque Romance
50,Comic Dialogue
51,Political Satire
52,Academic Entertainment
53,Piscatory
54,Tragedy and History
55,Comic Show
56,Moral Masque
57,Tragedy; Tragicomedy
58,Neo-miracle
59,Political Tragicomedy
60,Dialogue
61,Political Dialogue
62,Political Comedy
63,Political Allegory
64,Pastoral Tragicomedy
65,Contemporary Foreign History
66,Biblical Play
67,Pastoral with Recitative
68,Pastoral Comedy
69,Medley
70,Opera
71,Pastoral Romance
72,Latin Tragedy
73,Latin Play
74,Latin Pastoral
75,Latin Comedy
76,Latin Satirical Comedy
77,Latin Allegory
78,Latin Political Comedy
79,n/a
80,May Game Play
81,Royal Reception
82,Political-Religious Moral
83,Speeches at Barriers
84,Tilt
85,Monologue
86,Christmas Show
87,Comic Pastoral
88,Latin Moral
89,Translation of French Royal Entertainment
90,Jig
91,Droll
92,Burlesque Masque
