id,label
0,"Walley, John"
1,"Rastell, John"
2,"Kitson, Anthony"
3,"Peele, Stephen"
4,"Buck, George"
5,"Pickering, William"
6,"Hacket, Thomas"
7,"Perrin, John"
8,"Veale, Abraham"
9,"Jones, Richard"
10,"Barker, Christopher"
11,"Hunter, John"
12,"Cadman, Thomas"
13,"Broome, William"
14,"Woodcock, Thomas"
15,"White, Edward (1)"
16,"Broome, Joan"
17,"Wright, William (1)"
18,"Clarke, Sampson"
19,"Ponsonby, William"
20,"Pavier, Thomas"
21,"White, John"
22,"Langley, Thomas"
23,"Grove, Francis"
24,"Newman, Thomas (1)"
25,"Winnington, John"
26,"Wright, John (1)"
27,"Ling, Nicholas"
28,"Busby, John (1)"
29,"Millington, Thomas"
30,"Smethwick, John"
31,"Burby, Cuthbert"
32,"Bankworth, Richard"
33,"Jones, William (2)"
34,"Barnes, Roger"
35,"Bell, Henry"
36,"Sergier, Richard (2)"
37,"Crooke, John (1)"
38,"Blackwall, William"
39,"Waterson, Simon"
40,"Wise, Andrew"
41,"Law, Matthew"
42,"Coles, Francis"
43,"Aspley, William"
44,"Hunt, Joseph"
45,"Ferbrand, William"
46,"Holme, William (3)"
47,"Oliffe, Richard"
48,"Fisher, Thomas"
49,"Hawkins, Richard"
50,"Hayes, Thomas"
51,"Hayes, Lawrence"
52,"Leake, William (2)"
53,"Burre, Walter"
54,"Gilbertson, William"
55,"Knight, Philip"
56,"Fosbrooke, Nathaniel"
57,"Wood, William"
58,"Leake, William (1)"
59,"Sheares, William (1)"
60,"Lownes, Matthew"
61,"Johnson, Arthur"
62,"Meighen, Richard"
63,"Rocket, Henry"
64,"Vincent, George (1)"
65,"Blount, Edward"
66,"Trundle, John"
67,"Man, Thomas (2)"
68,"Hodgets, John"
69,"Basse, Robert"
70,"Bushell, Thomas"
71,"Butter, Nathaniel"
72,"Thorpe, Thomas"
73,"Perry, Hugh"
74,"Cotton, William"
75,"Knight, Clement"
76,"Knight, Thomas"
77,"Alchorn, Thomas"
