id,label
0,1513 [c.1513-1516]
1,c.1519
2,1508 [c.1500-1522]
3,1517 [c.1517-c.1518]
4,1535 [c.1521-1535]
5,1527 [c.1527-1530]
6,1515 [1515-1526]
7,1520 [1516-1533]
8,1520 [1520-1533]
9,1519 [1513-1521]
10,1533
11,1528 [1519-1528]
12,1534 [1533-1534]
13,1530 [c.1530-1534(?)]
14,1514 [1513-1514]
15,1520 [c.1520-1522]
16,1542 [1537-1547]
17,1538
18,1538 [revised c.1547 and 1562]
19,1550 [1547-1550(?)]
20,1520 [c.1520-c.1557]
21,[c.1550]
22,1554 [1553-c.1555]
23,1559
24,1560
25,1547 [c.1547-1558]
26,1550 [1547-1553]
27,1527 [1525-1529]
28,1561
29,1555 [c.1553-c.1558]
30,1563
31,1537 [Oct 12-24]
32,1537 [c.1537-1566]
33,1562 [Jan 18]
34,1565
35,1566
36,1565 [c.1560-1565]
37,1552 [1552-1554(?)]
38,1558 [c.1550-1566]
39,1567
40,1568 [1562-1568]
41,1554 [c.1550-1557]
42,1559 [1558-1561]
43,1559 [c.1559-1568]
44,1560 [c.1559-1570]
45,1568 [before 1569]
46,1561 [c.1558-1569]
47,1560 [c.1559-c.1570]
48,1564 [1564-1568]
49,1571 [1570(?)-1573]
50,1568 [c.1565-c.1572]
51,c.1574
52,1564 [1559-1567]
53,1553 [c.1552-1563]
54,1575
55,1576
56,1577 [1559-1577]
57,1578 [Aug]
58,1569 [1563-1569]
59,1581 [May 15-16]
60,1572 [1570-1581]
61,c.1583
62,1581 [c.1581-1584]
63,c.1581
64,1584 [1579-1584]
65,1585 [Oct 29]
66,1575 [Sep]
67,1588 [Feb 28]
68,1575 [Jul 9-27]
69,1588
70,1582 [Dec 30]
71,1588 [1588-1590]
72,1587 [1587-1588]
73,1588 [1587-1588]
74,1590 [Oct 29]
75,1591 [Sep 21-23]
76,1588 [Feb 2(?)]
77,1591 [Oct 29]
78,1591
79,1591 [Aug 14]
80,1567 [1567-1568; revised 1591]
81,1585 [1583-1585]
82,1589
83,1591 [1588-1592]
84,1590
85,1592 [c.1589-1592]
86,1587 [1585-1589; revised c.1597(?) and 1601-2]
87,1591 [1590-1593]
88,1590 [c.1589-1591]
89,1592 [Jun 10]
90,1594
91,1592 [1590-1592]
92,1591 [1590-1591]
93,1592 [c.1590-1604]
94,1591 [1590-1592]
95,1589 [1586-1590]
96,1588 [1586-1591]
97,1590 [c.1589-1593]
98,1591 [1587-1591]
99,1591 [1588-1594]
100,1589 [1588-1589]
101,1586 [c.1585-1586; possibly 1591]
102,1592 [1591-1593]
103,1592 [1591-1594]
104,1588 [1587-1594]
105,1593 [revised 1607]
