id,label
0,G.3 (Aldersgate Within - Foster Lane)
1,W.9 (Fleet St. - St. Dunstan's Church / Clifford's Inn)
2,B (Paul's Churchyard - Unlocated)
3,W.5 (Fleet St. - Conduit / Salisbury Court)
4,A.3 (Paul's Churchyard - Northeast)
5,F.4 (Aldersgate Without - Little Britain)
6,H.9 (Cripplegate and Moorgate Within - Lothbury)
7,O.1 (Royal Exchange - St. Mildred's Church)
8,P.7 (Leadenhall - Rood Lane)
9,W.4 (Fleet St. - St. Bride's Church)
10,W.13 (Fleet St. - Middle Temple)
11,A.5 (Paul's Churchyard - Cheap Gate Area)
12,C.7 (Newgate Within - Paternoster Row)
13,S.9 (Thames St. 2 - Three-Crane Wharf)
14,"P.1 (Leadenhall - All Hallows' Church, Lombard St.)"
15,G.1 (Aldersgate Within - Aldersgate)
16,A.6 (Paul's Churchyard - East)
17,I.1 (Cripplegate Without - Barbican)
18,R.2 (Thames St. 1 - Knightrider St.)
19,A.10 (Paul's Churchyard - West)
20,V.2 (Holborn - Holborn Bridge)
21,A.6 (Paul's Churchyard - East)|W.14 (Fleet St. - Temple Bar)
22,T.7 (Thames St. 3 - London Bridge)
23,Q.6 (Blackfriars)
24,W.14 (Fleet St. - Temple Bar)
25,X.6 (Strand / Drury Lane - Somerset House)
26,H.2 (Cripplegate and Moorgate Within - Aldermanbury)
27,D.5 (Newgate Without - Holborn Conduit)
28,E.5 (Smithfield - Duck Lane)
29,O.11 (Royal Exchange - Pope's Head Alley)
30,D.8 (Newgate Without - St. Sepulchre's Church)
31,A.1 (Paul's Churchyard - Little North Door)
32,V.10 (Holborn - Gray's Inn)
33,A.8 (Paul's Churchyard - Great South Door)
34,O.8 (Royal Exchange - South Entrance)
35,A.2 (Paul's Churchyard - Great North Door)
36,C.1 (Newgate Within - Christ Church)
37,E.4 (Smithfield - Cow Lane)
38,O.9 (Royal Exchange - South Side)
39,D.9 (Newgate Without - Snow Hill)
40,P.4 (Leadenhall - Gracechurch St.)
41,D.3 (Newgate Without - Giltspur St.)
42,P.2 (Leadenhall - Cornhill)
43,C.4 (Newgate Within - Newgate Market)
44,W.10e (Fleet St. - Chancery Lane near Rolls)
45,E.8 (Smithfield - Little St. Bartholomew's Church)
46,T.5 (Thames St. 3 - Catherine Wheel Alley)
47,H.5 (Cripplegate and Moorgate Within - Guildhall)
48,I.4 (Cripplegate Without - St. Giles's Church)
49,A.7 (Paul's Churchyard - Southeast)
50,A.8 (Paul's Churchyard - Great South Door)|W.10c (Fleet St. - Chancery Lane near Serjeants' Inn)
51,X.8 (Strand / Drury Lane - Ivy Bridge)
52,D.7 (Newgate Without - Old Bailey)
53,W.7 (Fleet St. - Serjeant's Inn / Whitefriars)
54,E.9 (Smithfield - Long Lane)
55,R.1 (Thames St. 1 - Carter Lane)
56,W.10c (Fleet St. - Chancery Lane near Serjeants' Inn)
57,W.3 (Fleet St. - Fleet Bridge)
58,R.6 (Thames St. 1 - Baynard's Castle)
59,X.10 (Westminster - Britain's Burse)
60,W.9 (Fleet St. - St. Dunstan's Church / Clifford's Inn)|W.13 (Fleet St. - Middle Temple)
61,H.17 (Cripplegate and Moorgate Within - Wood St.)
62,Edinburgh
