id,label
0,18
1,[imperfect copy]
2,20
3,16 (?) [imperfect copy]
4,16
5,14
6,30
7,26
8,8
9,24 (?) [imperfect copy]
10,24
11,28 (?) [imperfect copy]
12,12 (?) [imperfect copy]
13,12
14,9 (?) [imperfect copy]
15,52
16,44
17,56
18,18 (?) [imperfect copy]
19,10
20,92
21,50
22,36
23,32
24,28
25,22
26,60
27,[imperfect]
28,34 (?) [imperfect copy]
29,34
30,110
31,54
32,55
33,4
34,[lost edition]
35,18 + 1 folding leaf
36,38
37,42
38,46
39,48
40,40
41,36 (?) [imperfect copy]
42,42 (?) [imperfect copy]
43,64
44,65
45,68
46,47
47,62
48,90
49,17
50,72
51,73
52,21
53,33
54,39
55,49
56,61
57,31
58,35
59,6
60,58
61,9
62,45
63,41
64,13
65,15
66,28 leaves
67,118
68,166
69,86
70,78
71,140
72,75
73,76
74,74
75,80
76,96
77,108
78,66
79,84
80,57
81,23
82,5 1/2
83,8 1/2
84,17 1/2
85,4 1/2
86,144
87,206
88,6 1/2
89,264
90,332
91,115
92,10 1/2
93,114
94,224
95,19
96,20 1/2
97,19 1/2
98,82
99,88
100,43
101,25 1/2
102,18 1/2
103,53
104,3
105,98
106,44 1/2
107,35 1/2
108,84 (?) [imperfect copy]
109,292
110,3 1/2
111,278
112,301
113,298
114,316
115,342
116,207
117,194
118,77
119,31 1/2
120,94
121,204
122,55 1/2
123,177
124,48 1/2
125,168
126,37
127,29 1/2
128,32 1/2
129,39 1/2
130,183
131,33 1/2
132,184
133,7 1/2
134,7
135,514
136,11
137,5
138,1 1/2
139,2
140,11 1/2
141,2 1/2
142,454
143,41 1/2
144,1
145,9 1/2
146,372
147,151
148,12 1/2
149,13 1/2
150,14 1/2
151,15 1/2
152,128
153,318
154,46 1/2
155,51 1/2
156,56 1/2
157,182
158,40 1/2
159,212
160,209
161,340
162,160
163,25
164,34 1/2
165,47 1/2
166,181
167,53 1/2
168,228
169,52 1/2
170,252
171,253
172,246
173,27
174,418
175,24 1/2
176,331
177,134
178,29
179,112
180,109
181,97
182,169
183,229
184,23 1/2
185,441
186,288
187,302
188,42 1/2
189,199
190,275
191,293
192,104
193,241
194,247
195,152
196,146
197,136
198,38 1/2
199,105
200,272
201,279
