id,label
0,Hycke Scorner
1,The Summoning of Everyman
2,The World and the Child (Mundus et Infans)
3,The Nature of the Four Elements (Natura Naturata)
4,"Temperance and Humility (Disobedience, Temperance, and Humility)"
5,The Beauty and Good Properties of Women (Calisto and Melebea) (Celestina)
6,Magnificence
7,Andria
8,"Johan Johan the Husband, Tib His Wife, and Sir Johan the Priest"
9,"The Pardoner and the Friar, the Curate, and Neighbor Pratte"
10,"Old Christmas, or Good Order"
11,The Play of the Weather
12,A Play of Love
13,"Pater, Filius, et Uxor, or The Prodigal Son"
14,The Interlude of Youth
15,The Four P's
16,The Four Cardinal Virtues
17,The Chief Promises of God unto Man (God's Promises)
18,The Temptation of Our Lord and Savior Christ by Satan
19,"The Three Laws of Nature, Moses, and Christ, Corrupted by the Sodomites, Pharisees, and Papists"
20,"Somebody, Avarice, and Minister (Somebody and Others, or The Spoiling of Lady Verity)"
21,Johan the Evangelist
22,"Interlude of Detraction, Light Judgment, Verity, and Justice"
23,Wealth and Health
24,Troas
25,Thyestes
26,Impatient Poverty
27,Nice Wanton
28,Godly Queen Esther
29,Hercules Furens
30,Jack Juggler
31,Oedipus
32,Thersites
33,Albion Knight
34,Ferrex and Porrex (Gorboduc)
35,King Darius
36,Lusty Juventus
37,Agamemnon
38,The Cruel Debtor
39,Medea
40,Octavia
41,Ralph Roister Doister
42,The Life and Repentance of Mary Magdalene
43,The Interlude of Vice (Orestes)
44,The Trial of Treasure
45,Like Will to Like
46,Jacob and Esau
47,Patient and Meek Grissel
48,The Longer Thou Livest the More Fool Thou Art
49,The Disobedient Child
50,The Marriage of Wit and Science
51,Cambises
52,Enough Is as Good as a Feast
53,Damon and Pithias
54,New Custom (New Guise)
55,Free-Will
56,An Interlude of Minds
57,Appius and Virginia
58,Gammer Gurton's Needle
59,The Glass of Government
60,Common Conditions
61,The Tide Tarrieth No Man
62,Abraham's Sacrifice
63,All for Money
64,The Entertainment at Norwich
65,The Entertainment in Suffolk and Norfolk
66,The Most Virtuous and Godly Susanna
67,The Entertainment of the French Ambassadors (The Fortress of Perfect Beauty)
68,The Conflict of Conscience
69,Sappho and Phao
70,The Arraignment of Paris
71,"Campaspe (Alexander, Campaspe, and Diogenes)"
72,The Three Ladies of London
73,Fedele and Fortunia (Two Italian Gentlemen)
74,The Pageant before Woolstone Dixie
75,The Queen's Entertainment at Woodstock
76,The Misfortunes of Arthur (Certain Devices and Shows Presented to Her Majesty)
77,The Princely Pleasures at Kenilworth
78,The Rare Triumphs of Love and Fortune
79,The Three Lords and Three Ladies of London
80,1 Tamburlaine the Great
81,2 Tamburlaine the Great
82,The Pageant for John Allot
83,The Entertainment at Elvetham
84,"Endymion, the Man in the Moon"
85,Descensus Astraeae
86,2 The Troublesome Reign of King John
87,The Entertainment at Cowdray
88,Tancred and Gismund (Gismond of Salerne)
89,Gallathea
90,Midas
91,Arden of Faversham
92,Antonius (Antony)
93,Soliman and Perseda (Zulziman)
94,The Spanish Tragedy (Hieronimo is Mad Again)
95,Edward the First
96,"Fair Em, the Miller's Daughter"
97,Jack Straw
98,A Knack to Know a Knave
99,Cornelia (Pompey the Great His Fair Cornelia's Tragedy)
100,Titus Andronicus
101,A Looking Glass for London and England
102,2 Henry the Sixth (The First Part of the Contention of the Two Famous Houses of York and Lancaster)
103,The Taming of a Shrew
104,The Taming of the Shrew
105,Friar Bacon and Friar Bongay
106,"The Wounds of Civil War, or Marius and Scilla"
107,Orlando Furioso
108,The Cobbler's Prophecy
109,Mother Bombie
110,The True Tragedy of Richard the Third
111,The Battle of Alcazar
112,"Dido, Queen of Carthage"
113,Edward the Second
114,1 Selimus
115,The Wars of Cyrus
116,Cleopatra
117,The Massacre at Paris
118,The Pedlar's Prophecy
119,Menaechmi
120,Locrine
121,The Old Wives Tale
122,3 Henry the Sixth (The True Tragedy of Richard Duke of York and the Good King Henry the Sixth)
123,A Knack to Know an Honest Man
124,The Reign of King Edward the Third
125,Richard the Second
126,Richard the Third
127,Romeo and Juliet
128,The Woman in the Moon
129,1 Henry the Fourth
130,The Blind Beggar of Alexandria (Irus)
131,The Virtuous Octavia
132,The Famous Victories of Henry the Fifth
133,The Scottish History of James the Fourth
134,Love's Labor's Lost
135,Mucedorus (and Amadine)
136,A Warning for Fair Women
137,"Alphonsus, King of Aragon"
138,Clyomon and Clamydes
139,"George a Green, the Pinner of Wakefield"
140,An Humorous Day's Mirth (The Comedy of Humors)
141,The Love of David and Fair Bathsheba
142,1 The Two Angry Women of Abingdon
143,Old Fortunatus
144,Every Man Out of His Humor
145,The Maid's Metamorphosis
146,Henry the Fifth
147,1 Sir John Oldcastle
148,2 Henry the Fourth
149,Much Ado About Nothing
150,The Wisdom of Doctor Dodypoll
151,A Midsummer Night's Dream
152,The Weakest Goeth to the Wall
153,The Merchant of Venice (The Jew of Venice)
154,Summer's Last Will and Testament
155,Look About You
156,"The Shoemaker's Holiday, or The Gentle Craft"
157,Every Man in His Humor
158,Jack Drum's Entertainment (Katherine and Pasquil)
159,Love's Metamorphosis
160,"The Downfall of Robert, Earl of Huntingdon (1 Robin Hood)"
161,"The Death of Robert, Earl of Huntingdon (2 Robin Hood)"
162,"Cynthia's Revels, or The Fountain of Self-Love"
163,Two Lamentable Tragedies
164,"Il Pastor Fido, or The Faithful Shepherd"
165,Antonio and Mellida
166,Antonio's Revenge (2 Antonio and Mellida)
167,"Poetaster, or The Arraignment"
168,The Merry Wives of Windsor
169,"Blurt, Master Constable, or The Spaniard's Night Walk"
170,Thomas Lord Cromwell
171,The Contention between Liberality and Prodigality
172,How a Man May Choose a Good Wife from a Bad
173,"A Larum for London, or The Siege of Antwerp"
174,"Satiromastix, or The Untrussing of the Humorous Poet"
175,Darius
176,"Hamlet, Prince of Denmark"
177,Patient Grissel
178,Philotus
179,The Magnificent Entertainment Given to King James (The Entertainment through London)
180,The Malcontent
181,1 The Honest Whore (1 The Converted Courtesan)
182,Doctor Faustus
183,The Wit of a Woman
184,The Vision of the Twelve Goddesses (The Masque at Hampton Court)
185,Arches of Triumph (The Entertainment through London)
186,The Trial of Chivalry (This Gallant Cavaliero Dick Bowyer)
187,The Fair Maid of Bristow
188,When You See Me You Know Me (Henry the Eighth)
189,The True Chronicle of King Leir
190,The Dutch Courtesan (Cockle de Moye)
191,"1 If You Know Not Me You Know Nobody, or The Troubles of Queen Elizabeth"
192,Sejanus His Fall
193,Eastward Ho
194,The Triumphs of Reunited Britannia
195,All Fools
196,Captain Thomas Stukeley
197,"1 Jeronimo, with the Wars of Portugal"
198,The London Prodigal
199,Philotas
200,2 If You Know Not Me You Know Nobody (The Second Part of Queen Elizabeth's Troubles)
201,"2 The Return from Parnassus, or The Scourge of Simony (The Progress to Parnassus)"
202,The Gentleman Usher (Vincentio and Margaret)
203,The Queen's Arcadia (Arcadia Reformed)
204,Sir Giles Goosecap
205,Nobody and Somebody
206,"Parasitaster, or The Fawn"
207,"The Wonder of Women, or Sophonisba"
208,"Caesar and Pompey, or Caesar's Revenge"
209,The Honorable Entertainment of the King of Denmark
210,Wily Beguiled
211,The Isle of Gulls
212,Monsieur D'Olive
213,Hymenaei
214,The Masque at Lord Hay's Marriage
215,"Lingua, or The Combat of the Tongue and the Five Senses for Superiority"
216,Claudius Tiberius Nero
217,The Whore of Babylon
218,The Fair Maid of the Exchange
219,The Phoenix
220,Michaelmas Term
221,The Woman Hater (The Hungry Courtier)
222,Bussy D'Ambois
223,Cupid's Whirligig
224,The Travels of the Three English Brothers
225,The Miseries of Enforced Marriage
226,Northward Ho
