id,label
0,"""Here folow dyuers matters whiche be in this interlude conteynyd"" [A1r]"
1,"""The preface to the tragedie"" (prologue or argument) [A5r]"
2,"""The Argument of this Tragedy"" [B1r]"
3,"""Thargument of the Tragedie"" [A1v]"
4,"""The argument of the Tragedie"" [A1v]"
5,"""The Argument of the Tragedie"" [A2r]"
6,"""The Argument to the Tragedie by the Translatour"" [A4v]"
7,"""The Argument of the Tragedie"" [A4v]"
8,"""The Argument"" [A1r]"
9,"""The Argument"" [<sup>π</sup>A3r]"
10,"""The Argument of the Tragedie taken out of the two and twentith chapter of Genesis"" [A6r]"
11,"""The argument of the Tragedie"" [A1r]"
12,"""The Argument of the Comoedie"" [G1r]"
13,"""Argumentum Tragediæ"" [A1v]; ""An other of the same more at large in prose"" [A2r]"
14,"""The Argument"" [A2r, misprinted A3]"
15,"""The Argument"" [a3r]"
16,"""The Argument"" [B1r]"
17,"""The Argument"" [A3v]"
18,"""The Argument"" [A3v]; ""The Argument"" [F8r]"
19,"""The Argument"" [a1r]"
20,"""The Argument"" [A3r]"
21,"""The Argument"" [A1v]"
22,"""Fabule argumentum"" [A2r]"
23,"""The Argument"" [A4r]"
24,"""The Argument"" [A6r]"
25,"""Argumentum"" [A2v]"
26,"""The Argument"" (verses) [A4r, sometimes mis-signed A2]"
27,"""The Argument"" [A2r]"
28,"""The Argument"" (verses) [A4r]"
29,"""The aplicable argument of the Maske"" [a4r]"
30,"""The applicable argument of the Maske"" [C3r]"
31,"""The Argument in briefe"" [A3v]"
32,"part of ""The Actors Names"" [A1v]"
33,"""The Argument"" [(*)3v]"
34,"""The Argument"" [A4v]"
35,"""A short argument of this Tragedy"" [A7r]"
36,"""The Argument"" [B2r]"
37,"""The Argument of the first Act"" [B1r]; ""The argument of the second Act"" [C4r]; ""The argument of the third Act"" [E3v]; ""The argument of the fourth Act"" [G2v]; ""The argument of the last Act"" [I2r]"
38,"""The Subject of the Masque"" [B1r]"
39,"""The argument of the first and second Part of the Committee-man curried"" (in verse) [A2r]"
40,"""The Argument"" (in verse) [A2r]"
41,"""The Historicall and Morall Plot of the Tragedy"" (in verse) [A3r]"
42,"""The Argument or Subject of the Comedy"" [A3v]"
43,"""The Argument"" [A6v]"
44,"""The whole Argument is this Dystich"" [A2v]"
45,"""The Argument of the whole Designe"" [A2r]"
46,"""The Speech or Argument"" [B1v]"
47,"""Argument out of Aristophanes"" [A2r]"
48,"""Argumentum Antigones, per Tho. Watsonum"" [B3r]; ""Argumentum Fabulæ"" (in verse) signed ""Thoma Watsono Authore"" [B3v]"
49,"""Argumentum"" [B1r]"
50,"""Argumentum"" [A8r]"
51,"""Argumentum"" [2*2r]"
52,"""The Prologue or argument"" [A4v]"
53,"""The argument of the Tragedie"" subscribed ""Fortunatus Infœlix"" [K2r]"
54,"""The Prologue or argument"" [A2v]"
55,"""The argument of the Tragedie"" subscribed ""Fortunatus Infœlix"" [F5r]"
56,"""The prologue or argument"" [B2v]"
57,"""The Argument of the whole Historye"" [A4r]"
58,"""The Argument of this Tragedie"" [D5r]"
59,"""The Argument"" [F8r]"
60,"""The Argument"" [H7r]"
61,"""The Argument"" [O2v]"
62,"""The Argument. To the Tragedy, by the Translator"" [R1r]"
63,"""The Argument"" [T6r]"
64,"""The Argument"" [Y3r]"
65,"""The Argument"" [2B5r]"
66,"""The Argument of the Tragedie"" [<sup>2</sup>A2r]"
67,"""The Argument"" [E4r]"
68,"""Argumentum Tragœdæ"" [A6r]"
69,"""The Argument"" [H8r]"
70,"""The Argument"" [G4v]"
71,"""The Argument"" [E4v]"
72,"""The Argument"" [<sup>4</sup>B1r]"
73,"""The Argument"" [<sup>2</sup>F2r]"
74,"""The Argument"" [a1v]"
75,"""The Argument"" [P3r]"
76,"""The Argument"" [G2r]"
77,"""The persons names who speake"" [L4v]"
78,"""The Argument"" [R4r]"
79,"""The Argument"" [B5r]"
80,"""The Argument"" [¶7r]"
81,"""The Argument"" [G4r, misprinted O4]"
82,"""The Argument"" [E6r]"
83,"""The Argument"" [2G5v]"
84,"""The Argument"" (verses) [2P3r]"
85,"""The Argument"" (verses) [3E3r]"
86,"""The Argument"" [R3v]"
87,"""The Argument"" (verses) [2L4r]"
88,"""The Argument"" (verses) [2Y6r]"
89,"""The Argument"" [2A4r]"
90,"""The Argument"" [2Q4r]"
91,"""The Argument according to Muretus collection"" [A6v]"
92,"""The Argument"" [E2v]"
93,"""The Argument"" [B7r]"
94,"""Argumentum"" [K1v]"
95,"""Fabulæ argumentum"" [Z3r]"
96,"""The Argument"" (in verse) [L6r]"
97,"""The Argument"" (in verse) [N1r]"
98,"""The Argument of Amphrisa the forsaken Shepheardesse"" [N8v]"
99,"""The Argument"" [L3r]"
100,"""Arguments"" [2Q3v]"
101,"""The Argument of the first Act"" [R2v]; ""The Argument to the second Act"" [S4v]; ""The Argument to the third Act"" [V2r]"
102,"""The Argument introducing to the following Scenes"" [E2r]"
103,"""Argument"" (in English) [R1r]; ""The Argument of the Scenes"" (in English) [R1v]; ""Argumentum"" addressed to ""Spectatores"" [R5v]"
104,"""The Argument"" [H5v]"
