id,label
0,"""Here folow the namys of the pleyers"" [A1r]"
1,"""These be the names of the players"" [H2r]"
2,on title page [A1r]
3,"""Interlocutores"" [A1v]"
4,"""The speakers in this tragedie"" [A6v]"
5,"""The speakers"" [♣8v]"
6,on title page [<i>A</i>1r]
7,"""The speakers"" [B1r]"
8,"""The names of the Speakers of this Tragedie"" [a8v]"
9,"""The names of the Speakers"" [A2r]"
10,"""The names of the speakers"" [A2v]"
11,"""The names of the speakers of this Tragedie"" [A4v]"
12,"""The names of the Speakers of this Tragedie"" [A4v]"
13,"""The speakers in this Tragedie"" [A4v]"
14,"""The Players names"" and a scheme of parts whereby ""Foure may playe it easely"" [A1v]"
15,"""The Players names"" [A1v]"
16,"""The players names"" [A1v]"
17,"""The Speakers names"" [A2v]"
18,"""The Spekers names"" [A2v]"
19,"""The persons"" [A1v]"
20,"""The Names and Attyre of the Parsonages of thissame Playe"" [A7v]"
21,"""The names of the Speakers in this Comedie"" [A1v]"
22,"""The names of the Actors"" [<sup>π</sup>A2v]"
23,"""The speakers"" [A7v]"
24,"""The Actors names"" [C3v]"
25,"""The names of the speakers"" [A1v]"
26,"""The speakers in this Comœdie"" [B3v]"
27,"""The Actors names"" [A2r]"
28,"""The Actors"" [A3v]"
29,"""Interlocutores"" [a4v]"
30,"""The Actors"" [B2v]"
31,"""The Actors"" [A4v]"
32,"""Eight persons may easily play it"" [A1v]"
33,"""Ten persons may esily play it"" [A2v]"
34,"""Ten persons may easily play it"" [A2v]"
35,"""Tenne persons may easily play it"" [A2v]"
36,"""Ten Persons may easily play it"" [A2v]"
37,"""The names of the Actors"" [A2v]"
38,"""The names of the actors"" [A1v]"
39,"""The Actors Names"" [A1v]"
40,"""The number and names of the Actors"" [A2r]"
41,"""The names of all the men and Women, that Act this Play"" [I3v]"
42,"""The names of all the Men and Women, that act this Play"" [I4v]"
43,"""The number and names of the Actors"" [A1v]"
44,"""The persons which speake in it"" [A2v]"
45,"""The Persons which speak in it"" [A6v]"
46,"""The Persons that Act"" [A1v]"
47,"""The speakers"" [A3v]"
48,"""Dramatis personæ"" [A2r]"
49,"""The persons names that speakes"" [a2v]"
50,"""The persons names that speakes"" [A4v]"
51,"""The Names of the Interloquitors"" [A2v]"
52,"""The Names of the Speakers"" [A1v]"
53,"""The Personages"" [C1r]"
54,"""Dramatis personæ"" [A4v]"
55,"""Dramatis personæ"" [A2v]"
56,"""The Interlocutors"" [A2r]"
57,"""The names of the Actors"" [A4v]"
58,"""Actors"" [A2v]"
59,"""The names of the Actors"" [A8r]"
60,"""The names of the Actors. Dramatis Persona"" [A3v]"
61,"""The names of the Actors. Drametis Persona"" [A3v]"
62,"""The names of the Actors"" [A1v]"
63,names of characters [A1v]
64,"""Interlocutores"" [A3v]"
65,"""Interlocutores"" [A2v]"
66,names of characters [A2r]
67,"""Actors"" [H4r]"
68,"""Drammatis Personæ"" [A2r]"
69,"""Drammatis Personæ"" [A1v]"
70,"""Dramatis Personæ"" [A1v]"
71,"""Drammatis personæ"" [A1v]"
72,"""Eleauen may easily acte this Comedie"" [A2r]"
73,"""Eleauen may easily acte this Comedy"" [A2r]"
74,"""Eleaven may easily acte this Comedy"" [A2r]"
75,"""Dramatis Personæ"" [π2v]"
76,"""The Actors names"" [A1v]"
77,"""The Actors Names"" [A2v]"
78,"""The Persons of the Comoedye"" [A4r, sometimes mis-signed A2]"
79,"""Actorum Nomina"" [A2r]"
80,"""The Names of the Actors"" [A2v]"
81,"""Dramatis Personæ"" [A2v]"
82,"""The Actors in the Comedy"" [A4v]"
83,"""Scænarum Personæ"" [A1v]"
84,"""Actorum nomina"" [A2v]"
85,"""The names and qualities of the Actors"" [A1v]"
86,"""The Names of Persons presented in the Play"" [<i>var</i>.: omitting ""in""] [A2v]"
87,"""Dramatis Personæ"" [<i>var</i>.: ""Drammatis""] [A4v]"
88,"""Drammatis Personæ"" [A4v]"
89,"""The Actors"" [A2v]"
90,"""The Persons of the Comœdie"" [A4r]"
91,"""The Persons of the Play"" [A2v]"
92,"""The Actors names"" [A4v]"
93,"""The names of the Speakers"" [A1v]"
94,"""The Names of the Speakers"" [B1r]"
95,"""The Names of the Speakers"" [C4r]"
96,"""Drammatis Personæ"" [A2v]"
97,"""The Speakers Names"" [A4v]"
98,"""The Actors Names"" [A4r]"
99,"""The Speakers"" [¶4v]"
100,"""Actors"" [A3r]"
101,"""Actors"" [B3r]"
102,"""The Actors names"" [A3v]"
103,"""The names of the Actors"" [<i>var</i>.: without heading] [A2v]"
104,"""The Actors are these"" [A1v]"
105,"""Dramatis Personæ"" [A2r]"
106,"""Dramatis Personæ"" [A4r]"
107,on title page [A2r]
108,"""Drammatis Personæ"" [A3v]"
109,"""The Actors"" [A1v]"
110,"""The Actors"" [A2r]"
111,"""See me, and see me not. Or a Dialogue betweene these persons following"" [B1v]"
112,"""Speakers"" [A2v]"
113,"""Speakers"" [A1v]"
114,"""The Parts"" [A3v]"
115,"""The Personated Persons"" [A2v]"
116,"""The Personated Persons"" [A1v]"
117,"""The Personated Persons"" [[π2v]"
118,"""Names of the Actors"" [A2r]"
119,"""Actorum Nomina"" [π2v]"
120,"""The persons presented"" [A3r]"
121,"""The persons presented"" [A2v]"
122,"""The Names of the Persons"" [A1v]"
123,"""The Figures, and Persons properly raysde for Employment through the whole Masque"" [A2v]"
124,"""The Actors names"" [<i>var</i>.: ""nomes""] [A2v]"
125,"""The Actors names"" [A2v]"
126,"""The Names of the Actors"" [A4r]"
127,"""The Names of the Actors"" [A1v]"
128,"""Dramatis personæ"" [B1r]"
129,"""The Speakers"" [A1v]"
130,"""The Actors in this Tragedy"" [A4v]"
131,"""The Names of the Actors"" [A3v]"
132,"""The persons presented"" [A1v]"
133,"""The Speakers"" [A3v]"
134,"""The Speakers"" [A2v]"
135,"""The Persons of this Tragedy"" [A4v]"
136,"""The Persons presented"" [A4v]"
137,"""Persons"" [Χ2r]"
138,"""Persons"" [a4v]"
139,"""The Names of the principall Persons"" [A2v]"
140,names of characters [A4r]
141,"""The Actors in this Tragick-Comedy"" [A8v]"
142,"""Drammatis Personae"" [<i>var</i>.: ""Dramatis""] [A1v]"
143,"""Drammatis Personæ"" [B1v]"
144,"""The Persons of the Play"" [(*)8v]"
145,"""Dramatis Personæ"" [A4v]"
146,"""Dramatis Personæ"" [a4r]"
147,"""The Persons of the Play"" [A2r]"
148,"""The Persons in the Comedie"" [A1v]"
149,Personae [A1v]
150,"""Drammatis personæ. New persons not presented in the former part of this History"" [A2v]"
151,"""Dramatis personæ"" [2¶4v]"
152,"""Dramatis personæ"" [A8v]"
153,"""The Speakers"" [A4v]"
154,"""The Actors Names"" [A2r]"
155,"""The Speakers in this Tragedy"" [A2v]"
156,"""The Persons"" [A1v]"
157,"""The Speakers names, fitted to their Qualities"" [A4r]"
158,"""Drammatis Personæ"" [A4r]"
159,"""The Persons presented"" [A1v]"
160,"""The Persons"" [A3v]"
161,"""The Persons of the Play"" [A4v]"
162,"""The Persons of the Play"" [A3v]"
163,"""The Persons of the Comedy"" [A4v]"
164,"""Dramatis Personæ"" [A3v]"
165,"""The speaking persons"" [A4r]"
166,"""The Persons figur'd"" [B1r]"
167,"""The Speakers of the Play"" [A2r]"
168,"""Drammatis Peronæ"" [<i>var</i>.: ""Dramatis""] [A3v]"
169,"""Persons"" [A2v]"
170,"""Persons of the Comedy"" [A1v]"
171,"""Names of the Persons"" [A1v]"
172,"""The names of the Actors"" [A5v]"
173,"""The Actors Names"" [A4v]"
174,"""The Actors names"" [A4r]"
175,"""The Persons"" [A4v]"
176,names of characters [A2v]
177,names of characters [A3v]
178,"""The Persons of the Comedy"" [A1v]"
179,"""The Speakers"" [E4r]"
180,"""The Speakers"" and note ""Acted 1628."" [A3r]"
181,"""The Speakers"" [A4r]"
182,"""Dramatis Persona"" [<i>sic</i>] [A2v]"
183,"""Drammatis personæ"" [A3r]"
184,"""The Persons of the Play"" [B1v]"
185,"""Dramatis personæ"" [A3v]"
186,"""The Persons of the Play"" [A4r]"
187,"""The Speaking Persons"" and ""Mutes"" [A4r]"
188,"""The Actors Names"" [B1r]"
189,"""The Persons"" [a4v]"
190,"""The Persons"" [a8v]"
191,"""The Persons of the Comedy"" [A2v]"
192,"""The persons of the Play"" [A1v]"
193,"""The Persons in the Play"" [A4v]"
194,"""The Persons in the Comedy"" [A4v]"
195,"""The Actors"" [A4r]"
196,"""The Persons"" [A3r]"
197,"""The names of the Persons"" [A1v]"
198,"""The Persons in the Play"" [A2v]"
199,"""The Persons herein Personated"" [A1v]"
200,"""Dramatis Personæ"" [*1v]"
201,"""The Arguments of the 12. Characters or Colloquies"" [B1v]"
202,"""The Collocutors and Complaynants, or, Persons speaking"" [A1v]"
203,"""The Persons in the Tragedie"" [A4v]"
204,"""The Names of the Chiefe Actors"" [¶1v]"
205,"""The Speakers"" [a2r]"
206,"""The persons acting who present not in the first Part"" [A2v]"
207,"""The Actors Names"" [M1v]"
208,"""Persons"" [A1v]"
209,"""Dramatis Persone"" [<i>sic</i>] [A1v]"
210,"""The Persons of the Enterlude"" [¶8v]"
211,"""Dramatis Personæ"" [E4v]"
212,"""The Persons"" [A2v]"
213,"""The names of the several Actors"" [A4r]"
214,"""Persons Rrepresented"" [A5r]"
215,"""The Actors Names"" [B6r]"
216,"""The persons of the Play"" [A2r]"
217,"""The Actors Names"" [A3v]"
218,"""The Names of the Persons presented"" [A4v]"
219,"""Drammatis Personæ"" [a2v]"
220,"""The Persons of the Play"" [a2v]"
221,"""The Names of the Persons presented"" [A2r]"
222,"""The Persons"" [B3v]"
223,"""Dramata Personarum"" [A2r]"
224,"""Persons of the Play"" [A4v]"
225,"""Persons"" [A4v]"
226,"""The Names of the Persons"" [A4v]"
227,"""The Persons Acting"" [A2r]"
228,"""The Persons Represented, and their Habits"" [A8r]"
229,"""The Persons of the Play"" [A1v]"
230,"""Persons of the Play"" [A1v]"
231,"""The persons of the Play"" [A8v]"
232,"""The names with some small Characters of the Persons"" [A3r]"
233,"""The Names of the Persons in the Play, and of the Actors that first Acted it on the Stage, and often before their Majesties"" [A1v]"
234,"""The names and small Characters of the Persons"" [A3r]"
235,"""Actors"" [A4v]"
236,"""The Actors"" (in ""Præludium"") [B1r]; ""The Actors"" [C2v]"
237,"""Dramatis Personæ"" [<i>A</i>2v]"
238,"""The Persons Represented"" [A4r]"
239,"""Persons of the Play"" [A2v]"
240,"""The Persons"" [A2r]"
241,"""Personaæ Personatæ"" and ""Personæ nominatæ"" [A1v]"
242,"""Actors Names"" [A1v]"
243,"""Actors Names"" [A2r]"
244,"""A Catalogue of the Actors"" [A4v]"
245,"""Dramatus Personæ"" [<i>sic</i>] [A4r]"
246,names of characters [A4v]
247,"""Personæ"" [A2r]"
248,"""The Actors personated in this Dramatick"" [A2r]"
249,"""Actors"" [A3v]"
250,"""Dramatis Peronæ"" [A2v]"
251,"""Interlocutors"" [A8r]"
252,"""Names of the Actors"" [A1v]"
253,"""Personæ"" [B4v]"
254,"""Personæ"" [A7v]"
255,"""Actorum nomina"" [A1v]"
256,"""Actorum nomina"" [A12r]"
257,"""Personae"" [<sup>π</sup>C2r]"
258,"""Dramatis personæ"" [<i>var.</i>: ""Personæ""] [A2v]"
259,"""Dramatis Personæ"" [*2v]"
260,"""Personæ"" [B1r]"
261,"""Dramatis personæ"" [A3r]"
262,"""Drammatis Personæ"" [A3r]"
263,"""Dramatis Personæ"" [A7r]"
264,"""Dramatis Personæ"" [¶4r]"
265,"""Dramatis personæ"" [A7r]"
266,"""Dramatis Personæ"" [2*1r]"
267,"""Personæ Dramatis"" [*2v]"
268,"""The names of the players"" [i4r]"
269,"""The names of the Actors"" [A4r]"
270,"""The names of the Interloquutors"" [K2v]"
271,"""The names of the Actors"" [A2r]"
272,"""The names of the Interloquutors"" [F5v]"
273,"""The names of the actors"" [B2r]"
274,"""The Speakers"" [B1r]"
275,"""The names of the Speakers"" [D5v]"
276,"""The names of the speakers"" [F8v]"
277,"""The Speakers names"" [H7v]"
278,"""The Speakers names"" [L8r]"
279,"""The Speakers names"" [O4r]"
280,"""The Speakers names"" [R1v]"
281,"""The Speakers names"" [T6v]"
282,"""The Speakers names"" [Y3v]"
283,"""The Speakers names"" [2B6r]"
284,"""The names of the Speakers"" [<sup>2</sup>A2r]"
285,"""The Speakers"" [A3r]"
286,"""The Actors"" [E4v]"
287,"""Personae"" [A5v]"
288,"""The Actors"" [I1v]"
289,"""The Actors"" [G5v]"
290,"""The Actors"" [E5v]"
291,"""The Actors"" [<sup>4</sup>B2v]"
292,"""The Actors"" [<sup>2</sup>F3v]"
293,"""Actors"" [a2v]"
294,"""The Actors Names"" [P4v]"
295,"""The persons names who speake"" [A8r]"
296,"""The persons names that speake"" [G3v]"
297,"""The Argument"" [L3r]"
298,"""The persons names who speake"" [R5r]"
299,"""The Actors"" [B6r]"
300,"""The names of the Actors"" [G4v]"
301,"""The names of the Actors"" [P2v]"
302,"""The names of the Actors"" [E6v]"
303,"""The names of the Actors"" [K9v]"
304,"""The Names of the Actours"" [A5v]"
305,"""The Names"" [B4r]"
306,"""The Names of the Actors"" [G2v]"
307,"""The Persons of the Play"" [P6v]"
308,"""The Persons of the Play"" [Z5v]"
309,"""The Persons of the Play"" [2G6r]"
310,"""The Persons of the Play"" [2P2v]"
311,"""The Persons of the Play"" [2X6v]"
312,"""The Persons of the Play"" [3E2v]"
313,"""The Persons of the Play"" [3L5v]"
314,"""The Names"" [4F6r]"
315,"""The Persons of the Play"" [B2v]"
316,"""The Names of the Actors"" [G3v]"
317,"""The Persons of the Play"" [O6v]"
318,"""The Persons of the Play"" [X6v]"
319,"""The Persons of the Play"" [R3v]"
320,"""The Persons of the Play"" [2L3v]"
321,"""The persons of the Play"" [2R2v]"
322,"""The Persons of the Play"" [2Y5v]"
323,"""The Persons of the Play"" [3E4v]"
324,"""The Names"" [<sup>2</sup>K5v]"
325,"""The Names of the Actors"" [2A5v]"
326,"""The Speakers"" [2F2v]"
327,"""The Names of the Actors"" [2K1v]"
328,"""The Actors"" [2Q1v]"
329,"""Names of the Actors"" [B4r]"
330,"""The names of all the Actors"" [D1v]"
331,"""The names of all the Actors"" [G6v]"
332,"""The Names of the Actors"" [2C2r]"
333,"""The Actors Names"" [<sup>Χ</sup>g8v]"
334,"""The Actors Names"" [2h6r]"
335,"""The Names of the Actors"" [2v6r]"
336,"""The Actors Names"" [i2v]"
