id,label
0,Finis andrie. [D5v]
1,"Thus endeth thys Tragedy or enterlude manyfestynge the chefe promyses of God vnto Man by all ages in the olde lawe, from the fall of Adam, to the incarnacyon of the lorde Iesus Christ. Compyled by Iohan Bale. Anno domini, M. D. XXXVIII. [E4v]"
2,"Thus endeth this Tragedie or Enterlude, manifestinge the cheefe promices of God vnto man, by all ages in the olde lawe, from the fall of Adam, to the incarnation of the Lord Iesus Christ. <i>Compiled by Iohn Bale. Anno Dom.</i> 1<i>538.</i> [D4v]"
3,"Thus endeth thys brefe Comedy concernynge the temptacyon of Iesus Christ in the wyldernes. Compyled by Iohan Bale, Anno M. D. XXXVIII. [E4v]"
4,"THVS ENDETH this Comedye, concernynge thre Lawes, of Nature, Moyses, and Christ, corrupted by the Sodomytes, Pharysies, and Papistes most wicked. Compyled by Iohn Bale. [L3r]"
5,The ende of the Tragedie of Kynge <i>Gorboduc</i>. [E4r]
6,The ende of the Tragedie of King <i>Gorboduc.</i> [G4v]
7,Finis. Quod R. Weuer.
8,Finis. q Vlpian Fulwel. [F1v]
9,FINIS. q Vlpian Fulwel. [F1v]
10,FINIS. q. Vlpian Fulwell. [F1v]
11,Thus endeth this Comedie or Enterlude of Iacob and Esau. [G4v]
12,F<small>INIS</small> q <i>Tho. Churchyard.</i> [H1r]
13,FINIS. N.W. [I4r]
14,FINIS. Paule Bucke. [F3v]
15,"FINIS. M. A. [<i>var.</i>(?): ""A. M.""]"
16,Donne by George Peele Maister of artes in Oxford. [A4r]
17,"FINIS. Thomas Hughes. <i>Sat cytò, si sat benè: vtcunq: Quod non aat spes, dat optio.</i>"
18,<i>Yours. By George</i> P<i>eele Maister of Artes in Oxenforde. Finis.</i> [L3v]
19,<i>Yours. By </i> George Peele <i>Maister of Artes in Oxenford</i>. FINIS. [I4v]
20,<i>Non prosunt Domino quæ prosunt omnibus; Artes.</i> Tho: Kyd. [L3v]
21,<i>Finis the Tragedie of</i> T<i>itus Andronicus.</i> [K4v]
22,"<i>Finis Frier Bacon, made by Robert Greene, Maister of Arts. Omne tulit punctum qui miscuit vtile dulci.</i> [I2r]"
23,<i>Tho. Dekker.</i> [L3v]
24,<i>FINIS. Rob. Yarington.</i> Laud Deo. [K3v]
25,<i>Antonij vindictæ. FINIS.</i> [K4v]
26,Finis. <i>W. A.</i> [K2v]
27,Finis. <i>W. A.</i> [K3v]
28,FINIS. <i>The Pastorall of the faithfnll Shepheardesse.</i> [L1v]
29,<i>FINIS. W. Smyth.</i> [I1v]
30,Tho. Middleton. [B2r]
31,Th'end of Tasso's Aminta. [K2r]
32,A<small>VRELIAN</small> T<small>OVNSHEND</small>. | [list of masquers] | FINIS. [C4v]
33,<i>Here ends the whole History of the destruction of</i> Troy. FINI<i>S</i>. [K4v]
34,<i>FINIS W. S.</i> [K2r]
35,Written by <i>S. S.</i> Gent. <i>Licensed and Published according to Order: FJNJS.</i> [C2r]
36,R<small>IC</small>. B<small>ROME</small>. <i>Deus dedit his quoque Finem.</i> FINIS. [G2r]
37,<i>JOHN DAY</i>. FINIS [K2v]
38,<i>M. G.</i> FINIS. [T3r]
39,<i>M. G.</i> FINIS. [H9r]
40,Thus endeth the play of Robin hood. [H4r]
41,<i>FINIS.</i> G. W.
42,"<i>HERE ENDETH THE FIRST</i> Tragedy of <i>Seneca</i>, called <i>Hercules furens, translated into En</i>glishe by Iasper Heywood studente in Oxenforde. [D4v]"
43,"<i>Thomas Newtonus, Cestreshyrius.</i> FINIS. [H6v]"
44,FINIS. W. A. [N2r]
45,FINIS. S<sup>r</sup>. W. A. [F7v]
46,FINIS. S<sup>r</sup>. W. A. [L1v]
47,FINIS. S<sup>r</sup>. W. A. [R2r]
48,S. D. [F4v]
49,<i>And thus it ended.</i> B<small>EN</small>. I<small>ONSON</small>. [4E5r]
50,The Author B. I. [4E6r]
51,<i>The Author</i> B. I. [4F1v]
52,<i>And thus it ended.</i> B<small>EN</small>. J<small>ONSON</small>. [I5r]
53,The Author B. J. [I6r]
54,<i>The Author</i> B. I. [K1v]
55,"<i>Finis Andriæ</i>. [E2r, mis-signed F2]"
56,<i>Antonij vindictæ. FINIS.</i> [I7v]
57,<i>Here endeth the Queeue of Cornith.</i> [6C4r]
58,<i>Here endeth Women pleas'd.</i> [6F3v]
59,<i>Here endeth A Wife for a Moneth</i>. [6I2v]
60,<i>Here endeth Wit at severall Weapons</i>. [6L6v]
