id,label
0,"Wright, William (1)"
1,"Robinson, Robert"
2,"Pemell, Stephen"
3,"White, Edward (1)"
4,"White, John"
5,"Langley, Thomas"
6,"Grismand, John (1)"
7,"Barley, William"
8,"Millington, Thomas"
9,"Burby, Cuthbert"
10,"Bankworth, Richard"
11,"Kitson, Anthony"
12,"Hancock, Ralph"
13,"Hardy, John"
14,"Law, Matthew"
15,"Sheares, William (1)"
16,"Perry, Hugh"
17,"Barlow, Timothy"
18,"Lownes, Matthew"
19,"Collins, Richard"
20,"Harrison, Stephen"
21,"Sudbury, John"
22,"Humble, George"
23,"Ball, Roger"
24,"Blackmore, Edward"
25,"Coles, Francis"
26,"Hodgets, John"
27,"Higgenbotham, Richard (2)"
28,"Crooke, Andrew (1)"
29,"Thrale, Richard"
30,"Rocket, Henry"
31,"Butter, Nathaniel"
32,"Becket, James"
33,"Wright, John (1)"
34,"Stepneth, John"
35,"Browne, John (1)"
36,"Marchant, Edward"
37,"Helme, John"
38,"Lightfoot, Benjamin"
39,"Jones, Thomas (2)"
40,"Wright, Edward"
41,"Mab, Ralph"
42,"Allott, Robert"
43,"Emerson, Godfrey"
44,"Alchorn, Thomas"
45,"Causon, Edmund"
46,"Vavasour, Nicholas"
47,"Ireland, Richard"
48,"Emery, Jasper"
49,"Allam, Thomas"
50,"Cowper, John"
51,"Eglesfield, Francis"
52,"Sergier, Richard (2)"
53,"Crooke, John (1)"
54,"Allott, Thomas"
55,"Crooke, Edmond"
56,"Fussell, Nicholas"
57,"Moseley, Humphrey"
58,"Pollard, Robert"
59,"Leake, William (2)"
60,"Nicholson, John"
61,"Hardesty, John"
62,"Wright, William (2)"
63,"Clavell, Robert"
64,"Skelton, Richard"
65,"Pridmore, Isaac"
66,"Marsh, Henry (2)"
67,"Slater, Thomas"
68,"Chapman, Laurence"
69,"Waterson, Simon"
70,"Moore, Richard"
71,"Calvert, George"
72,"Pierrepont, Thomas"
73,"Lisle, Laurence"
74,"Meighen, Richard"
75,"Fenricus, M."
76,"Mynne, Richard"
77,"Roybound, William"
78,"Lee, William (3)"
79,"Martin, John"
80,"Huntington, Thomas"
81,"Jackson, Thomas (2)"
82,"Sweeting, John"
83,"Brome, Henry"
