id,label
0,Interlude
1,Closet Translation
2,Inns of Court
3,Boys Nonprofessional/School
4,University
5,Closet
6,Adult Professional
7,Occasional
8,Boys Professional
9,Private; Translation
10,Closet (?) Translation
11,Adult Professional; Boys Professional
12,Closet/Unacted
13,Inns of Court; Occasional
14,Nonprofessional
15,Private
16,Occasional; Adult Professional
17,Unknown; Professional (?); Nonprofessional
18,Unacted (?); Professional
19,Adult Professional (?); Unacted
20,Boys Professional; Translation
21,Boys Nonprofessional/School; Unacted
22,Private (Nonprofessional); Adult Professional
23,University (Nonprofessional); Adult Professional
24,Unacted; Professional
25,Adult Professional (?); Boys Professional
26,Closet/Unacted (?); Professional (?); Nonprofessional
27,University; Unacted
28,University (?); Translation
29,Unknown (prob. Nonprofessional)
30,Unknown
31,Latin University
32,Latin; University
33,Latin (Unknown Nonprofessional)
34,Latin Closet
35,Collection of Interludes
36,Collection of a Nondramatic Text and an Interlude
37,Collection of Nondramatic Texts and an Inns of Court Play
38,Collection of Nondramatic Texts and Nonprofessional Plays
39,Inns of Court; Translation
40,Collection of Nondramatic Texts and an Occasional Play
41,Collection of Plays
42,Professional (?); Nonprofessional (?); Unacted
43,Collection of Closet Translations
44,Collection of a Nondramatic Text and an Inns of Court Play
45,Collection of Adult Professional Plays
46,Collection of Nondramatic Texts and a Translated Play
47,Collection of a Nondramatic Text and a Translated Play
48,Collection of Latin University Plays
49,Collection of Occasional Plays
50,Collection of Nondramatic Texts and a Closet Drama
51,Collection of Private Dramas
52,Collection of Closet Dramas
53,Collection of Plays and Nondramatic Texts
54,Collection of Nondramatic Texts and a Professional Play
55,Collection of Boys Professional Plays
56,Collection of a Nondramatic Text and an Occasional Play
57,Collection of Professional and Nonprofessional Plays
58,Collection of Translated Plays for Schools
59,School; Translation
60,Collection of University Plays
61,Collection of Nondramatic Texts and a Nonprofessional  Play
62,Collection of Nondramatic Texts and Closet Dramas
63,Collection of a Nondramatic Text and a Closet Drama
64,Collection of Nondramatic Texts and Occasional Plays
65,Collection of Nondramatic Texts and Boys Professional Plays
66,Collection of Nondramatic Texts and a School Play
67,Collection of Nondramatic Texts and Adult Professional Plays
68,Collection of Nondramatic Texts and Professional Plays
69,Collection of Adult Professional and Nonprofessional Plays
70,Collection of Professional Plays
71,Boys Professional; Adult Professional
72,Collection of Adult Professional Plays and an Unacted Play
73,Collection of Plays with Unknown Auspices
74,Collection of Nonprofessional (?) Plays
75,Collection of Nonprofessional Plays
76,Collection of Nondramatic Texts and an Unacted Play
