id,label
0,"Four woodcuts on title page: laborers, a man wearing a sword; an elephant; a prince"
1,"Four woodcuts on title page: one of two men in a room at top, three of figures below (two with blank labels)"
2,"Two woodcuts on title page, one of a man (with blank label), one of death"
3,"Two woodcuts on title page, one of a man (with ""Eueryman"" in label), one of death"
4,"Woodcut of prince on title page with label above, ""Mundus."""
5,"Three woodcuts of figures on title page, with blank labels"
6,"Woodcut of two figures on title page, with ""Charitie"" and ""Youth"" printed in labels"
7,"Three woodcuts of figures on title page, with ""Charite"" and ""Youth"" printed in two of the labels"
8,"Woodcut of Matthew on title page, writing in a book, with an angel holding an inkwell."
9,"Woodcut title page of Adam and Eve with the serpent in the Garden of Eden, with lettepress compartment for title"
10,Woodcut of haloed evangelist on title page
11,"Three woodcuts of figures on title page, with ""Iak iugler"" and ""M. boūgrace"" and ""Dame coye"" printed in labels"
12,"Three woodcuts of figures on title page, two with ""D Coi"" and ""Boūgrace"" printed in labels, the third with ""Iacke Iugler"" printed above"
13,Woodcut of a feast scene on title page
14,[see Colophon]
15,[see Other Paratexts]
16,woodcut of royal arms within garter of the order
17,Woodcut of a courtly scene on title page
18,"Woodcut of coat of arms of Edward Seymour, Earl of Hertford"
19,Woodcut of discovery of hanged Horatio on title page
20,"Woodcut on title page of the brazen head speaking, ""Time is. Time Was. Time is past,"" while Friar Bacon and his servant sleep and a clown with tabor plays"
21,Woodcut of an extravagantly dressed man on title page
22,Woodcut of Doctor Faustus and demon on title page
23,Architectural ornamentation on engraved title page
24,Woodcut of King Henry the Eighth on title page
25,Woodcut of Queen Elizabeth on title page
26,Woodcut of No-body on title page
27,"Woodcut on title page of Smug atop the White Horse sign, pursued by two game keepers"
28,Woodcut of Robert Armin on title page
29,"Woodcut of Moll on title page, with label printed sideways on left: ""My case is alter&#39;d, I must worke for my liuing."""
30,"Woodcut of a man on title page, with dialogue label: ""Tu quoque. To you Sir."""
31,Woodcut frontispiece of knight on horse [A1v]
32,"Woodcut on title page of four knights with pikes, with ""EVST."", ""GODFRY"", ""Charles"", and ""GVY"" above"
33,Woodcut of a fashionable lady on title page
34,Woodcut on title page of two gentlemen dueling
35,"Woodcut on title page of ""Amintor"" stabbing the cross-dressed ""Aspatia"""
36,Woodcut on title page of a king with hand of God holding a crown descending from clouds
37,"Woodcut on title page of Swetnam brought to the bar in a court of ladies, with the queen on her throne"
38,"Woodcut on title page of a lady lying on a hill (""The Princes[s]""), a man with drawn sword (""A Cuntrie Gentellman""), and a man hiding in a forest (""Phielaster"")"
