id,label
0,[1515?]
1,[1530?]
2,[1549?]
3,[1518?]
4,[1526-28?]
5,[1529]
6,[1534?]
7,1522
8,[1520?]
9,[c.1528]
10,[c.1525]
11,[1531]
12,[c.1520]
13,1533
14,[1533]
15,[1544?]
16,[1559?]
17,[c.1573]
18,1534
19,[1548?]
20,[c.1530]
21,[1557]
22,[1565?]
23,[1560?]
24,1569
25,[c.1545]
26,[1547?]
27,1577
28,1562
29,[1551?]
30,[c.1550]
31,1559
32,[1562?]
33,1560
34,[1561?]
35,1561
36,[c.1570]
37,1563
38,[1566?]
39,1565
40,[1570]
41,1590
42,[c.1565]
43,1566
44,[1566]
45,1567
46,1568
47,[after 1568?]
48,1587
49,[1558]
50,[1569?]
51,[1569]
52,[1570?]
53,[c.1585]
54,[c.1595]
55,1571
56,1582
57,1573
58,[1573?]
59,[1574?]
60,1575
61,[1576]
62,[after 1576]
63,1576
64,1578
65,[1578]
66,[1581]
67,1581
68,1584
69,1591
70,1592
71,1585
72,[1585]
73,1588
74,1589
75,1605
76,1606
77,[1591]
78,1599
79,1633
80,1595
81,[1592?]
82,[1592]
83,1594
84,1602
85,1603
86,1610
87,1615
88,1618
89,1623
90,1593
91,[1591?]
92,1631
93,1604
94,1600
95,1611
96,1598
97,[1605?]
98,1617
99,1596
100,1607
101,1630
102,1655
103,1612
104,1622
105,1638
106,[1594?]
107,1597
108,1608
109,1634
110,1629
111,1609
112,[1623]
113,1637
114,[1598]
115,1613
116,1632
117,1639
118,[1615-1618]
119,1619
120,1621
121,1626
122,[1629?]
123,[c.1656?]
124,"1608 [i.e., 1619]"
125,"1600 [i.e., 1619]"
126,1652
127,1624
128,1657
129,1601
130,1616
131,1614
132,[c.1625]
133,1635
134,1620
135,1628
136,[c.1613]
137,[1605]
138,[1606]
139,[1636]
140,1636
141,[1606?]
142,[1653?]
143,[c.1615]
144,1625
145,1648
146,1649
147,1641
148,1646
149,[1608]
150,1640
151,[1609]
152,[1610?]
153,1656
154,[1613]
155,[1614?]
156,[1628?]
157,1634 [c.1640]
158,1651
159,1651 [1661?]
160,1650 [1660?]
161,1652 [1661?]
162,[1622]
163,[1624]
164,[1625]
165,[1625?]
166,1627
167,1659
168,1660
169,1658
170,1653
171,[1631]
172,1640 [1661?]
173,1650
174,1637 [1661?]
175,1654
176,[1640]
177,[1642]
178,1642
179,1643
180,1647
181,"1649 [i.e., 1660?]"
182,[1655]
183,[1657]
184,[1657?]
185,"1629 [i.e., 1659]"
186,[1641?]
187,[1512-16?]
188,[1530-34?]
189,[c.1590?]
190,[1575]
191,[1635?]
192,"1640 [i.e., 1643]"
193,1645
194,[1655?]
195,[1658]
196,[1659]
