id,label
0,Hick Hicke Skorner
1,Hick Hicke
2,John
3,Neighbour
4,Vxor
5,Ps
6,Gods God
7,saviour
8,Enterlude
9,Hester
10,horestes
11,grissil
12,live are lives
13,Cambyses
14,Pythias
15,Gurtons Gurton
16,Abrahams Abraham
17,fidele fortuna
18,Queens Queen
19,One
20,Two
21,Cowdrey
22,Galathea
23,Feversham
24,Millers Miller
25,Cornelias
26,vi
27,Cobblers Coblers Cobler's Cobbler Cobler
28,bomby
29,iii
30,II
31,Peddler Pedlars Peddlers Pedlar
32,Three vi
33,ii
34,One iv
35,begger
36,V
37,iv
38,Labour's Labours Labors Loves Love Labor Labour
39,Humourous Humours Days Day
40,Bethsabe
41,Humour
42,Maids Maid
43,Two iv
44,Nights Midsummer's Midsummers Night
45,goes
46,Summers Summer
47,Shoemakers Shoemaker
48,Drums Drum
49,Loves Love
50,One Huntington
51,Two Huntington
52,Cynthias Cynthia
53,Antonios Two
54,Spaniards Spaniard
55,allarum alarum
56,Humourous
57,Grissil
58,Dekker's
59,Harrison's
60,viii
61,Hoe
62,Elizabeths Two Elizabeth
63,Caesars
64,Honourable
65,Dolive Olive
66,Hays Hay
67,Dambois Ambois
68,Cupids Cupid
69,Revengers Revenger
70,Devils vi
71,fleir
72,Camp-bell
73,Moreclacke
74,Chesters Chester
75,Londons London
76,Atheists Mans Atheist Man
77,Chrusothriambos Chruso-thriambos
78,weather cock
79,Widows Widow
80,Noua
81,Epicoene
82,Grays
83,Lincolns
84,Cynthias Maenanders Menanders Menander's Cynthia Maenander Menander
85,has
86,Greenes Greene
87,Somersets Somerset
88,Hymens Hymen
89,Honour
90,Heire
91,Honours
92,Devils
93,Malfy
94,Neptunes Neptune
95,Pisos Piso
96,Honour Britannias Britannia
97,Lovers Lover
98,Favourite
99,Melibea
100,Londons Jus London
101,Albions Albion
102,Amurath I
103,Emperour
104,Hollands Holland
105,Alls All
106,Traveler
107,Tis Shes She
108,into
109,Shepherd's Shepherd
110,Harbour Londons London
111,Womans Loves Woman Love
112,Amour dAmour
113,Mineruae
114,Loves Queens Cupids Love Queen
115,Bushells Bushell
116,Mirrour Londons London
117,Dukes Duke
118,Harbour
119,Ladys Lady
120,Fathers Father
121,Christs Christ
122,of Dean
123,Mascarade
124,Counselors
125,Colas Lirendas Cola Lirenda
126,Bartholmew
127,Parliaments Figgaries Two Parliament
128,Mirrour Astrea Loves Love
129,beggers
130,Figgaries
131,Gipsy
132,demoiselle damsel
133,Imposter
134,Mans Man
135,Gossip
136,Suns Sun
137,Days Day
138,Fancys Fancies Fancy
139,Fancys Fancy Fancies
140,Lusts Lust
141,Womans Woman
142,Errour
143,Honour Londons London
144,Shepherds Shepherd
145,One begger
146,Worlds World
147,Merchants Merchant
148,Cromwell Cromwells
149,Vlysses
150,Ioculare
151,One and Two
152,Hundreth Sundrie Flowres
153,Woorkes Whoole Workes
154,Workes
155,Churchyardes Chippes Churchyards Churchyarde's Churchyard
156,Queens City of Queen
157,Promus One and Two
158,Promus One
159,Promus Two
160,Yuychurch Pembrokes Pembroke Pembrokes
161,Phyllis
162,Hyppolytus additions
163,Bissam Sudley Ricote Ricorte
164,Bissam
165,Sudley
166,Ricote Ricorte
167,Pembrokes Pembroke
168,One and Two iv
169,Jonson's Part Honourable
170,Jonson's Part
171,Monarchicke Monarchick
172,alexandrian alexandrean
173,Defence
174,Nights Night
175,Haddingtons Haddington
176,Tethys Queens Tethy Queen
177,Lords Lord
178,Henrys Henry
179,Cockayne Cokayne Cockaynes Cokaynes
180,Cokaynes Judes Years Cockayne Cokayne Cockaynes
181,Jones Jones' Joness Joneses
182,Jones Jone's Joness Joneses
183,Floras Flora
184,Floras Ducy Flora
185,Drammaticke
186,Errours
187,Labour's Loves Labours Labors Love Labor Labour
188,Winters Winter
189,One vi
190,anthony
191,Peddler
192,Drammas Dramma's
193,Springs Spring
194,Almanac Makers Almanach
195,Masks
196,Gipsies
197,Pans Shepherd's Shepherd Pan
198,Loves Kings King Love
199,Humours
200,Maske
201,Mirrour
202,etc.
203,ΕΡΟΤΟΠΑΙΓΙΟΝ
204,Gripus
205,Beggar's Beggar begger beggers begger's
206,Lover's Lover
207,Valour
208,Tragi-Comedies
209,Begger
210,Love's Sacrifice
211,Lover One and Two
212,Lover One
213,Lover Two
214,One and Two Lover
215,One Lover
216,Two Lover
217,Acteon
218,Bretby
219,Honor
220,armour
221,Sr
