id,label
0,Enprynted by me Wynkyn de Worde. [C6v]
1,Thus endeth the enterlude of Hycke scorner. Imprinted at London in Foster laene by Iohñ Waley. [colophon; E4r]
2,Imprynted at London in Fletestrete at the Sygne of the George by Rycharde Pynson/ prynter vnto the King[e]s noble grace. [C4v]
3,Imprynted at London in Fletestrete/ by me Rycharde Pynson/ prynter to the kynges most noble grace. [C4v]
4,Thus endeth this morall playe of euery man. Imprynted at London in Poules chyrche yarde by me Iohñ Skot. [C4v]
5,Here endeth the Interlude of Mundus & Infans. Imprynted at London in Fletestrete at the signe of y<sup>e</sup> Soñe by me Wynkyn de worde. The yere of our Lorde M.CCCCC. and .xxii. The .xvij. daye of Iuly. [C8v]
6,Iohēs rastell me imprimi fecit Cum priuilegio regali [C3v]
7,Cum priuilegio.
8,Impryntyd by Wyllyam Rastell/ the .xii. day of February the yere of our lord .M.ccccc. and .xxxiii. Cum priuilegio. [B4v]
9,Imprynted by Wyllyam Rastell the .v. day of Apryll/ the yere of our lorde .M.CCCCC.XXXIII. Cum priuilegio. [B4v]
10,Imprynted by w. Rastell the yere of our lorde 1533. Cum priuilegio. [no sig.]
11,Prynted by w. Rastell. 1533. Cum priuilegio. [D6r]
12,"Imprinted at London in Paules Churche yearde, at the Sygne of the Sunne, by Anthonie Kytson. [F4r]"
13,"Imprinted at London by Ihon Awdeley dwelling in litle Britayne streete, beyonde Aldersgate. [F4r]"
14,Prynted by. w. Rastell M.ccccc.xxxiiii. Cum priuilegio Regali. [E4r]
15,Printed at London in Farster Laen by Iohñ Waley. Cum priuilegio ad imprimendum solum. [G4r]
16,"Imprinted at London, by Iohn waley dwellyng in Foster lane. [C4v]"
17,Imprented at London in Lothbury ouer against Sainct Margarytes church by me Wyllyam Copland. [C4v]
18,Imprynted at London in Fletestrete at the sygne of the George by Wyllyam Myddylton. [E4v]
19,Imprinted at London by Wyllyam Copland. [E4v]
20,"FINIS q Ihon Heywood. Imprinted at London at the long Shop adioyning vnto S. Mildreds Churche in the Pultrie, by John Allde. [E4r]"
21,"Thus endeth the enterlude of the .iiii. cardynal vertues, & y<sup>e</sup> vyces contrarye to them. Imprynted at London in Fletestrete. at the signe of y<sup>e</sup> George by Wyllyam Myddylton [C4v]"
22,"Thus endeth thys Comedy concernynge thre lawes, of Nature, Moses, and Christ, corrupted by the Sodomytes, Pharisees & papystes most wycked. Compyled by Iohan Bale. Anno M<sup>.</sup> D. XXXVIII, and lately inprented per Nicolaum Bamburgensem [G4r]"
23,"IMPRYNTED AT London/ in S. brydes Churchyarde, ouer agaynste the North Doore of the Churche, by Thomas Colwell. Anno Domini .M.D.LXII. vi. Die Nouembris. [L3v]"
24,Thus endeth the Enterlude of faynt Iohan the Euangelyste. Imprynted at London in Foster laene by Iohñ Waley. [C4r]
25,"Imprinted at London in Fletestrete within Temple barre, at the signe of the hand and starre, by Richard Tottyll. <i>Cum priuilegio ad imprimendum solum</i>. [F3v]"
26,"<i>JMPRINTED AT</i> London in Fletestrete, in the house late Thomas Berthelettes. Cum priuilegio ad imprimendum solum. ANNO. M. D. LX. [E6v]"
27,"Thus endeth the enterlute called Impacyente pouertye. Imprinted at London, in Paules Churche yearde at the Sygne of the Swane by Iohn Kynge. [E2v]"
28,"Imprinted at London, in Paules Churche yearde at the Sygne of the Swane by Iohn Kyng. [C2v]"
29,"Imprinted at London at the long Shop adioyning vnto Saint Mildreds Church in the Pultrie, by Iohn Allde. [C2v]"
30,"Imprynted at London by Wyllyam Pickerynge and Thomas Hacket, and are to be solde at theyre shoppes. [F3v]"
31,IMPRINTED AT London by Henrye Sutton dwelling in pater noster rowe at the signe of the blacke Boy.  ANNO DOMINI. M.D.LXI. [M8v]
32,"Imprinted at London in Temes strete at the Uintre vnpon the thre Crayne wharfe by me Wyllyam Copland [E4v, leaf mis-signed E3]"
33,"Imprinted at London in Lothbury by me Wyllyam Copland. *<sub>*</sub>* [E4v, leaf mis-signed E3]"
34,"Imprinted at London at the long Shop adioyning vnto Saint Mildreds Churche in the Pultrie, by John Allde. [E4v]"
35,"Imprynted at London, in Sainct Brydes Churchyarde: oueragaynste the North Doore of the CHURCHE, by Thomas Colwell. [F2v]"
36,"Imprynted at London in Sainct Brydes Churchyarde: oueragaynste the North Doore of the CHURCHE, by Thomas Colwell. [F2v]"
37,"Imprinted at London, by Iohn Tysdale and are to be solde at hys shop in the vpper ende of Lombard strete, in Alhallowes churche yarde neare vntoo grace church. [E1v]"
38,"Finis. quod R. Weuer. Imprinted at London in Paules churche yeard, by Abraham Uele, at the sygne of the Lambe. [E2v]"
39,Imprinted at London by Iohn Awdely dwelling in litle Britayne strete without Aldersgate. [F2r]
40,"Finis Quod R. Weuer. Imprynted at London, in Lothbury, ouer agaynst Sainct Margarits Church, by Wyllyam Copland. [E3r]"
41,"Imprinted at London, by <i>Henry Denham, dwelling in Pater noster rowe, at the</i> signe of the Starre. [H1r]"
42,"Finis. q. I. P. [woodcut of a scribe, with ""<i>SAPIENS DOMINABITVR ASTRIS.</i>"" printed around it] Imprinted at London in Fletestrete, at the signe of the Faucon, by Wylliam Gryffith, and are to be solde at his shoppe in Saynte Dunstones Church yarde. Anno. Domini.1567. [E4v]"
43,"Imprinted at Londō in Paules Churcheyarde, at the signe of the Lucrece by Thomas Purfoote. [E5v]"
44,"Finis. qd. Iohn Phillipp. Imprinted at London, in Fleetestreat beneath the Conduit, at the signe of Saint Iohn Euangelist by Thomas Colwell. [I1v]"
45,Amen. q Thomas Preston. <i>Imprinted at London by Iohn Allde</i>. [F3r]
46,FINIS. q Thomas. Preston. Imprinted at London at the Long Shop adioyning vnto Sainte Mildreds Churche in the Pultrie by Edward Allde. [F3r]
47,Amen quod Thomas Prestou. <i>Imprinted at London by</i> Edward  Allde. [F4v]
48,"Imprinted at London by Richard Ihones, dwelling at the signe of the Rose and the Crowne neare Holburne Bridge, and are there to be solde at his shoppe. 1582. [I2v]"
49,"Imprinted at London in Fleetestreete by <i>W</i>illiam How for Abraham Veale, dwelling in Paules churche yarde at the signe of the Lambe. [D4v]"
50,"<i>Imprinted at London, by Wil</i>liam How, for Richard Iohnes. 1575. [E3v]"
