id,label
0,"8: by unsigned (2); ""W. R."" (2); ""H. C.""; ""Thomas Delapeend""; ""W. Parkar""; ""T. B."" [¶2r]"
1,"1: by ""W. F."" [A3v]"
2,"2: by ""B. C.""; Barker's punning device 190 [sig. <sup>π</sup>A4v]"
3,"6: by ""W. Morgan""; ""Th. Lloid"" (2); ""G. Camdeni Tetrastichon""; ""Petrus Bizarus""; ""R. Cooke"" [π2r]"
4,"1: by ""Mia."" [A2v]"
5,"3: by ""Io. Murray""; ""W. Quin""; unsigned [A4r]"
6,"3: by ""Io. Murray""; ""W. Quin""; unsigned [A2r]"
7,"2: by ""Tho. Dekker""; ""Ioh. Webster"" [B1v]"
8,"8: by ""Georgius Chapmannus""; ""Hugh Holland""; ""Cygnus""; ""Th. R.""; ""Iohannes Marstonius""; ""William Strachey""; ""Φιλοε""; ""Ev. B."" [¶2r]"
9,"10: by ""E. B.""; ""I. D.""; ""T. R."" (2); ""F. B.""; ""D. D.""; ""I. C.""; ""G. C.""; ""E. S.""; ""I. F."" [¶4v]"
10,"11: by ""E. B.""; ""I. D.""; ""T. R."" (2); ""F. B.""; ""D. D.""; ""I. C.""; ""G. C.""; ""E. S.""; ""I. F.""; ""N. F."" [¶4v]"
11,"4: by ""N. F.""; ""Fr. Beaumont""; ""Ben: Ionson""; ""G. Chapman"" [A3r]"
12,"4: by ""Nath. Field""; ""Fr. Beaumont""; ""Ben: Ionson""; ""G. Chapman"" [A2r]"
13,"5: by ""Fr. Beaumont""; ""Nath. Field""; ""Ben: Ionson""; ""G. Chapman""; ""Shack. Marmyon"" [A1v]"
14,"4: by ""Fr. Beaumont""; ""Nath. Field""; ""Ben: Ionson""; ""G. Chapman"" [A2r]"
15,"1: by ""Robert Amerie"" [D1v]"
16,"3: by ""Franc. Beaumont""; ""Iohn Fletcher""; ""Nat. Field"" [A3v]"
17,"1: by ""George Chapman"" [A4r]"
18,"1: by ""George Lucy"" [A3v]"
19,"4: by ""F. C.""; ""B. I.""; ""G. Rogers""; ""Tho: Danet"" [A4r]"
20,"1: by ""W. R."" [A2v]"
21,"12: ""A Iurie of Seamsters, and their verdit vpon Band, Ruffe, and Cuffe"" signed ""M. Pus.""; ""M. T.""; ""M. A.""; ""M. H.""; ""M. L.""; ""M. O.""; ""M. B.""; ""M. H.""; ""M. I.""; ""M. D.""; ""M. D.""; ""M. E."" [A4r]"
22,"1: by ""Thomas Carew"" [A3r]"
23,"1: by ""W. B."" [Χ1r]"
24,"1: by ""W. B."" [A2v]"
25,"3: by ""Thomas Middletonus""; ""Wil: Rowley""; ""Iohn Ford"" [A4r]"
26,"1: by ""W. B."" [A4r]"
27,"4: by ""George Donne""; ""William Singleton""; ""Hum. Howorth""; ""Ο Φίλος"" [A3r]"
28,"8: by ""Hen: Blount""; ""Ed: Hyde""; ""Rich: Clerk""; ""Rob: Ellice""; ""Will: Habington""; ""Rog: Lorte""; ""Tho: Ellice""; ""H: Howard"" [A2v]"
29,"6: by ""T. I.""; ""Tho: G.""; ""Tho: May""; ""Iohn Foorde""; ""Robert Harvey""; ""Ioseph Taylor"" [A3r]"
30,"6: by ""Edmond Colles""; ""Robert Haruey""; ""Tho. May""; ""Iohn Ford""; ""William Habington"" (2) [A3v]"
31,"2: by ""Will. Hopkins""; ""Tho. Carew"""
32,"10: by ""Iohn Fox""; ""Io. Hall""; ""Cha. Aleyn"" (2); ""Tho. Randolph"" (2); ""Ro. Stapylton""; ""Philip Massenger""; ""Tho. Craford""; ""William Habington"" [<sup>Χ</sup>A1r]"
33,"10: by ""Iohn Fox""; ""Io. Hall""; ""Cha. Aleyn"" (2); ""Tho. Randolph"" (2); ""Ro. Stapylton""; ""Philip Massenger""; ""Tho. Craford""; ""William Habington"" [A3v]"
34,"2: by ""Iames Shirley""; ""Danyel Lakyn"" [A4r]"
35,"1: by ""Thomas Iay"" [A4r]"
36,"4: by ""Ri. Pert""; ""William Dennye""; ""Iohn Mingay""; ""M. S."""
37,1: by unsigned [B1r]
38,"3: by ""Aston Cokaine""; ""Iohn Clauell""; ""William Singleton"" [A3r]"
39,"6: by ""Ben. Ionson""; ""F. T.""; ""St. Br.""; ""Iohn Ford""; ""Tho. Dekker""; ""F. T."" [A3r]"
40,"3: by ""Ed. Kemp""; unsigned; ""I. R."" [A4v]"
41,"10: by ""Edward Hide"" (2); ""Edward Fraunces""; ""Rich. Benefield""; ""James Duport""; ""Thom. Riley""; ""Car. Fotherbie""; ""Fr. Meares""; ""Ro. Randolph""; ""Thom. Vincent"" [2¶1v]"
42,"10: by ""Edward Hide"" (2); ""Edward Fraunces""; ""Rich. Benefield""; ""James Duport""; ""Thom. Riley""; ""Car. Fotherbie""; ""Fr. Meares""; ""Ro. Randolph""; ""Thom. Vincent"" [A5v]"
43,"1: by ""Aston Cokayne"" [A2v]"
44,"2: by ""Henry Moody""; ""Thomas Iay"" [A3r]"
45,"1: by ""James Shirley"" [A2r]"
46,"1: by ""Thomas Ellice"" [A1+1r]"
47,"5: by ""George Donne""; ""Ra: E'ure""; ""George Crymes""; ""Iohn Brograue""; ""Iohn Ford"" [A3r]"
48,"1: by ""Will Atkins"" [A3r]"
49,"2: by ""Ben. Ionson""; ""Thomas May"" [A3r]"
50,"2: by ""George Donne""; ""Iohn Ford"" [A4r]"
51,"1: by ""T. Carew"" [<i>var</i>.: ""Crew""] [A3v]"
52,"2: by ""Rich. Broome""; ""Will. Cufaude"" [A4r]"
