id,label
0,"""The epistle"" <i>to</i>: Elizabeth I, Queen; <i>from</i>: Jasper Heywood [A2r]"
1,"""The Epistle"" <i>to</i>: John Mason (<i>diplomat</i>); <i>from</i>: Jasper Heywood [*2r]"
2,"Epistle <i>to</i>: William Herbert, 1st Earl of Pembroke; <i>from</i>: Jasper Heywood [A1v]"
3,"""The Epistle"" <i>to</i>: Nicholas Wotton (<i>diplomat and Dean of Canterbury and York</i>); <i>from</i>: Alexander Neville [a3r]"
4,"""The Epistle"" <i>to</i>: William Cecil (1st Baron Burghley); <i>from</i>: John Studley [A2r]"
5,"Epistle <i>to</i>: Francis Russell, 2nd Earl of Bedford; <i>from</i>: John Studley [A2r]"
6,"""The Epistle"" <i>to</i>: Robert Dudley, Earl of Leicester; <i>from</i>: Thomas Nuce [A3r]"
7,<i>To</i>: Lady Joan (Wentworth) Cheyney; <i>from</i>: Henry Cheeke [*2r]
8,Epistle <i>to</i>: Owen Hopton (<i>administrator</i>); <i>from</i>: George Gascoigne [sig. <sup>π</sup>A2+1r]
9,"""The Epistle Dedicatory"" <i>to</i>: Owen Hopton (<i>administrator</i>); <i>from</i>: Bernard Garter [A2r]"
10,"""The Epistle Dedicatorie"" <i>to</i>: Gilbert Gerard (<i>judge</i>); <i>from</i>: Thomas Churchyard [A2r]"
11,"""The Epistle"" [<i>var</i>.: ""Episte""] <i>to</i>: Rowland Brasebridge (<i>of Chepping Wycombe</i>); <i>from</i>: Henry Goldwell [A2r]"
12,"Epistle <i>to</i>: ""M. R.""; <i>from</i>: ""M. A."" [<i>var.</i>: Epistle <i>to</i>: John Herdson (<i>skinner</i>); <i>from</i>: ""A. M.""] [A2r]"
13,"""The Epistle"" <i>to</i>: William Sackville (<i>son of Thomas Sackville, 1st Earl of Dorset</i>); <i>from</i>: Maurice Kyffin [π3r]. Address <i>to</i>: Henry Sackville; and Thomas Sackville (<i>sons of Thomas Sackville, 1st Earl of Dorset</i>); <i>from</i>: Maurice Kyffin [π4r]"
14,"""The Epistle Dedicatorie"" <i>to</i>: Lady Mary (Waldegrave) Petre; and Lady Anne (Windsor) Grey; <i>from</i>: Robert Wilmot [*2r]. Epistle <i>to</i>: Robert Wilmot (<i>author</i>); <i>from</i>: ""Guil. Webbe"" [*3r]. Epistle <i>to</i>: ""the Gentlemen Students of the Inner Temple,"" ""the rest of his singular good friends,"" ""the Gentlemen of the middle Temple,"" and ""all other curteous readers""; <i>from</i>: Robert Wilmot [*4r]"
15,"""The Epistle"" <i>to</i>: Bridget (Morrison) Radcliffe, Countess of Sussex; <i>from</i>: Thomas Kyd [a2r]"
16,"Verses <i>to</i>: Mary (Sidney) Herbert, Countess of Pembroke; <i>from</i>: Samuel Daniel [A2r]"
17,"Verses <i>to</i>: Lucy (Mervyn) Touchet, Lady Audley; <i>from</i>: Samuel Brandon [A2r]. ""The Dedicat."" <i>to</i>: Maria Thynne; <i>from</i>: Samuel Brandon [F7r]"
18,"Epistle <i>to</i>: ""To all good Fellowes, Professors of the Gentle Craft; of what degree soeuer""; <i>from</i>: unsigned [A3r]"
19,"Epistle <i>to</i>: ""To all good Fellowes, Professors of the Gentle Craft; of what degree soeuer""; <i>from</i>: unsigned [A2r]"
20,"One of two special dedications has been inserted after title leaf: Dedication <i>to</i>: William Camden (<i>historian and herald</i>); <i>from</i> Ben Jonson [A1+1r]. Or: Dedicatory verses, headed ""Author ad Librum,"" <i>to</i>: Lucy (Harington) Russell, Countess of Bedford; <i>from</i> Ben Jonson [A1+1r]."
21,"Verses <i>to</i>: Edward Dymoke (<i>Royal Champion to Queen Elizabeth I</i>); <i>from</i>: Samuel Daniel [A1v]. Verses <i>to</i>: Edward Dymoke (<i>Royal Champion to Queen Elizabeth I</i>); <i>from</i>: ""the Translator"" [A1v]. Verses <i>to</i>: Edward Dymoke (<i>Royal Champion to Queen Elizabeth I</i>); <i>from</i>: Simon Waterson [A2r]."
22,"""The Epistle Dedicatorie"" <i>to</i>: Charles Dymock, Royal Champion to King James VI and I; <i>from</i>: John Waterson [A3v]. Verses <i>to</i>: Edward Dymock, Royal Champion to Queen Elizabeth I; <i>from</i>: Samuel Daniel [A5r]. Verses <i>to</i>: Edward Dymock, Royal Champion to Queen Elizabeth I; <i>from</i>: ""the Translator"" [A5v]."
23,"Epistle <i>to</i>: ""No-body""; <i>from</i>: John Marston [A2r]"
24,"""The Epistle"" <i>to</i>: James VI, King of Scotland; <i>from</i>: William Alexander [A2r]"
25,Dedication <i>to</i>: Ben Jonson (<i>poet and playwright</i>); <i>from</i>: John Marston [A3r]
26,Dedication <i>to</i>: Ben Jonson (<i>poet and playwright</i>); <i>from</i>: John Marston [A1v]
27,"Epistle <i>to</i>: Lucy (Harington) Russell, Countess of Bedford; <i>from</i>: Samuel Daniel [A3r]"
28,"Epistle <i>to</i>: Thomas Bennet, Lord Mayor; aldermen; and ""those Worshipfull Commoners, elected Committies""; <i>from</i>: Stephen Harrison [B1r]"
29,"""The Epistle"" <i>to</i>: Henry Frederick, Prince; <i>from</i>: Samuel Daniel [A4r]"
30,"""The Epistle"" <i>to</i>: Anne of Denmark, Queen (<i>consort of King James VI and I</i>); <i>from</i>: Samuel Daniel [A2r]"
31,"""The Epistle"" <i>to</i>: Richard Young (<i>of Woolley-farm, Berks., Esq.</i>); <i>from</i>: Hugh Perry [A2r]"
32,"Verses <i>to</i>: James VI and I, King; <i>from</i>: unsigned [A2r]. ""An Epigram"" <i>to</i>: James VI and I, King; <i>from</i>: unsigned [A2r]. Latin verses <i>to</i>: James VI and I, King; <i>from</i>: unsigned [A2v]. Verses <i>to</i>: Theophilus Howard (2nd Earl of Suffolk); <i>from</i>: unsigned [A3r]. Verses <i>to</i>: James Hay (1st Earl of Carlisle); and Honora (Denny) Hay; <i>from</i>: unsigned [A3v]."
33,Epistle <i>to</i>: Arthur Mannering (<i>Carver to Prince Henry Frederick</i>); <i>from</i>: Francis Burton [<i>var</i>: unsigned] [A3r]
34,"Epistle <i>to</i>: Arthur Mannering, Carver to Prince Henry Frederick; <i>from</i>: Francis Burton [<i>var</i>: unsigned] [A3r]"
35,Epistle <i>to</i>: Robert Hayman (<i>colonist and poet</i>); <i>from</i>: Edward Sharpham [A2r]
36,"Epistle <i>to</i>: ""the familie of the Sherleys""; <i>from</i>: John Day; William Rowley; and George Wilkins [A1+1r]"
37,Dedication <i>to</i>: William Herbert (1st Baron Powis); and William Pope (Earl of Down); <i>from</i>: Barnabe Barnes [A1v]
38,Epistle <i>to</i>: William Herbert (1st Baron Powis); and William Pope (Earl of Down); <i>from</i>: Barnabe Barnes [π2r]
39,"Dedication <i>to</i>: Cambridge University; and the University of Oxford; <i>from</i>: Ben Jonson [¶1r]. ""The Epistle"" <i>to</i>: the University of Oxford; and Cambridge University; <i>from</i>: Ben Jonson [¶1v]."
40,"Epistle <i>to</i>: ""Signior No-body""; <i>from</i>: John Day [A2r]"
41,"""The Epistle Dedicatory"" <i>to</i>: Henry Frederick, Prince; <i>from</i>: Ben Jonson [A3r]"
42,"Verses <i>to</i>: Walter Aston (Baron Aston of Forfar); <i>from</i>: John Fletcher [¶1r]. Verses <i>to</i>: William Skipwith (<i>politician and poet</i>); <i>from</i>: John Fletcher [¶1r]. Verses <i>to</i>: Robert Townshend (<i>son of Sir Roger Townshend, d. 1590</i>); <i>from</i>: John Fletcher [¶1r]."
43,Verses <i>to</i>: Joseph Taylor (<i>actor</i>); <i>from</i>: Shackerley Marmion [A4r]
44,"Verses <i>to</i>: Henry Frederick, Prince; <i>from</i>: Richard Davies [A2r]"
45,"Epistle <i>to</i>: Thomas Cambell, Lord Mayor; and ""all the Aldermen his Brethren""; <i>from</i>: unsigned [A3r]"
46,"Epistle <i>to</i>: William Herbert, 3rd Earl of Pembroke; <i>from</i>: Ben Jonson [A2r]"
47,"Epistle <i>to</i>: ""any Woman that hath beene no Weather-Cocke""; <i>from</i>: Nathan Field [A3r]"
48,Epistle <i>to</i>: John Reed (<i>of Mitton</i>); <i>from</i>: George Chapman [A2r]
49,"Epistle <i>to</i>: John Swinnerton, Lord Mayor; <i>from</i>: Thomas Dekker [A2r]"
50,Epistle <i>to</i>: Lady Mary (Sidney) Wroth ; <i>from</i>: Ben Jonson [A2r]
51,Epistle <i>to</i>: Francis Stuart (<i>admiral</i>); <i>from</i>: Ben Jonson [A2r]
52,"""The Epistle Dedicatorie"" <i>to</i>: Queen Anne's Men (<i>playing company</i>); <i>from</i>: Thomas Dekker [A3r]"
