id,label
0,"Imprinted at London  at the long Shop adioyning vnto S. Mildreds Churche in the Pultrie, by Iohn Allde. Anno Domini. 1569. Septembris. 14."
1,"And now fyrst Imprinted.  1577. ... Imprinted at London by Iohn Charlewoode, for Stephen Peele. and are to be solde at his shoppe in Roode Lane.  1577."
2,"and nowe newly Imprynted. The yere of our Lord, M, D, LXII,"
3,"newly at this tyme Imprinted. [<i>var</i>.: ""att his""]"
4,Anno domini. 1559. <i>Cum priuilegio ad imprimendum solum</i>.
5,"<i>Imprinted at London by Thomas Powell, for George Bucke</i>."
6,IMPRINTED AT London  in Fletestrete in the hous late Thomas Berthelettes. Anno .1560. 26. die Martij.
7,newlye Imprynted. M.U.LX.
8,newly Imprynted.
9,"Anno Domini, M.D.LX."
10,"Imprinted at London at the long Shop adioyning vnto Saint Mildreds Church in the Pultrie, by Iohn Allde."
11,"and imprinted, this present yere.  M.D.LXI."
12,Neuer before Imprented.
13,Newly Imprented.
14,"Newly Imprinted. ... Imprinted at London at the long Shop adioyning vnto Saint Mildreds Churche in the Pultrie, by John Allde."
15,<i>Imprynted at London in saint</i> Brydes Churchyarde: oueragaynst the North doore of the Churche: by <i>Thomas ColWell</i>. 1563. 28. <i>Aprilis</i>.
16,<i>Imprynted at London in saint</i> Brydes  Churchyarde: oueragaynst the North doore of the Churche: by <i>Thomas ColWell</i>. 1563. 28. <i>Aprilis</i>.
17,"IMPRYNTED AT LONDON in Fletestrete, at the Signe of the Faucon by <i>William Griffith:</i> And  are to be sold at his Shop in Saincte Dunstones Churchyarde in the West of <i>London</i>. <i>Anno</i> .1565. <i>Septemb</i>. 22."
18,"Imprinted at London by Iohn Daye, dwelling ouer Aldersgate."
19,"AT LONDON,  Printed by <i>Edward Allde</i> for <i>Iohn</i> Perrin, and are to be sold in Paules Church-<i>yard, at the signe of the</i> Angell.  1590."
20,"<i>IMPRYNTED AT LONDON IN  FLETE</i>-streat beneath the Conduite, at the sygne of S. Iohn Euangelyst by  Thomas Colwell.  <i>Anno Domini.  M.D.LXV.  In October</i>."
21,"Imprinted at London in Fleetestreate, beneath the Conduite, at the sygne of S. Iohn Euangelist, by  Hugh Iackson.  Anno Domini. 1577."
22,"<i>IMPRINTED AT LONDON</i> in Fletestreat, beneath the  Conduit, at the signe of S. Iohn Euangelyst, by Thomas Colwell. (?) <i>Anno  Domini.  M. D. LXVI</i>."
23,"Imprinted at London in Fleetestreate, beneth the Conduit, at the Signe of Sainct Iohn Euangelist,  by Thomas Colwell.  <i>Anno Domini M. D. LXVI.</i>"
24,"Imprinted at London, by Henry Denham."
25,"neuer before this tyme imprinted, ... Imprinted at London, by Iohn Charlewood, dwelling in Barbican, at the signe of the halfe Eagle and the Key. Anno. 1566."
26,"neuer before this tyme imprinted, ... Imprinted at London, by Iohn  Charlewood, dwelling in Barbican, at the signe of the halfe Eagle and the Key.  Anno. 1567."
27,"Imprinted at London tn Fletestrete, at the signe of the Falcon by Wylliam Gryffith, and are to be  solde at his shope in S. Dunstons Churcheyearde. Anno. 1567."
28,"newly set foorth, and neuer before this tyme imprinted. ... Imprinted at Londō in Paules Churcheyarde, at the signe of the  Lucrece by Thomas Purfoote. 1567."
29,Imprinted at Lōdon at the long shop adioyning  vnto S. Mildreds Churche in the Pultrie by Iohn Allde. Anno Domini 1568.
30,Imprinted at Lōdon at the long shop adioyning vnto Saint Mildreds Church in the Pultrie by Iohn Allde.
31,"LONDON  Printed by Edward Allde, and are to be Solde at the Long Shop adioyning vnto  Sainte Mildreds Church in the Pultrie. 1587."
32,"newely imprinted, ... Imprinted at London  by Henrie Bynneman, dwelling in Knightrider streate, at the signe of the  Mermayde.  Anno Domini. 1568."
33,"Imprinted at London, in Fleetestreat beneath the Conduit, at the signe of Saint Iohn Euangelist by  Thomas Colwell."
34,"<i>JMPRINTED AT  London, by Wyllyam HoW</i> for Richarde Iohnes: and are to be solde at his shop  vnder the Lotterie house."
35,"Imprinted at London  in Fletestrete, beneath the Conduit by Thomas Colwell."
36,"<i>Imprinted at London in Fletestrete, neare vnto sainct</i> Dunstones churche by Thomas Mars he."
37,"<i>IMPRINTED AT  LON</i>don at the long shop adioyning vnto S. <i>Mildreds Church in the Pultrie</i>, by Iohn Allde."
38,"Newly Imprinted, ... 1571. Imprinted at London in Fleetelane by Richard Iohnes, and  are to be solde at his shop, ioyning to the Southwest doore of Paules Churche."
39,"Newly Imprinted, ... Imprinted at Londõ, by Richarde Iones: dwelling  neere vnto Holborne Bridge, ouer against the  signe of the Faulcon.  Anno 1582."
40,"and for diuerse causes nowe set forthe, neuer before  this tyme Imprinted. 1573."
41,"<i>Imprinted at London, by Wil</i>liam  How, for Richard Ihones. <u>1575</u>."
42,"Imprynted at London in Fleetestreat beneth the Conduit at the signe of S. Iohn Enangelist by Tho<i>mas Colwell</i>. [<i>var.</i>: ""Imprented"" <i>or</i> ""Impr nted""]"
43,"Seen and allowed, according to the order appointed in the Queenes maiesties Iniunctions. <i>JMPRINTED at London for C. Barker</i>"
44,"Seen and allowed, according to the order appointed  in the Queenes maiesties Iniunctions. <i>JMPRINTED at London for C. Barker</i>"
45,"[title page] Seen and allowed, according to the order appointed  in the Queenes maiesties Iniunctions. <i>JMPRINTED at London for C. Barker</i> <br />[colophon; N1v] IMPRINTED AT London By H M for Christopher Barker at the signe of the Grassehopper in Paules Churchyarde, <i>Anno Domini.</i> 1575."
46,"Imprinted at London  by Wil<i>liam How, for Iohn Hunter, dwel</i>lynge  on London Birdge, at the signe of the Blacke Lion."
47,"<i>Jmprinted at London, in Fleete</i>-streate,  beneath the Conduite, at the Signe of Saynt Iohn Euaungelist, by Hugh Iackson.  1576."
48,Imprinted at London by Thomas Vautroullier dwelling in the Blacke Friers. 1577[.]
49,"AT LONDON. <i>Printed  by Roger Warde and Richard Mundee, dwel</i>ling at Temple Barre.  Anno. 1578."
50,"A<small>T</small> L<small>ONDON</small>, Imprinted  by Henrie Bynneman."
51,"A<small>T</small> L<small>ONDON</small>, Imprinted by Henrie Bynneman."
52,"A<small>T</small> L<small>ONDON</small>, Imprinted by Henrie Bynneman, seruante to the right Honourable Sir C<small>HRISTOFER</small> H<small>ATTON</small> <i>Vizchamberlayne</i>."
53,"neuer before this tyme Printed. ... IMPRINTED AT London, in Fleetestreate, be<i>neath the  Conduite, at the</i> Signe of S. Iohn Euangelist, by Hugh Iackson. 1578."
54,"<i>Imprinted at London, by Ro</i>bert  Waldegraue, dwelling without Temple-barre, neere vnto Sommerset-House."
55,"AT LONDON Printed, by Richarde Bradocke dwellinge in Aldermanburie, a little aboue the Conduict. Anno 1581."
56,"AT LONDON Printed, by Richarde Bradocke dwellinge  at Aldermanburie, a little aboue the Conduict.  Anno 1581."
57,<i>Imprinted at London</i> for Thomas Cadman. 1584.
58,"Imprinted at London  by <i>Thomas Orwin</i>, for <i>William Broome</i>. 1591."
59,Imprinted at London by Henrie Marsh. <i>ANNO. 1584.</i>
60,<i>Imprinted at London for</i> Thomas Cadman. 1584.
61,"Imprinted at London by <i>Thomas Orwin</i>, for <i>William Broome</i>. 1591."
62,"AT LONDON, Printed by Roger Warde, dwelling neere Holburne Conduit, at the signe of the  Talbot.  1584."
63,"AT LONDON, Printed  by Iohn Danter, dwelling in Ducke    Lane, neere Smithfield.  1592."
64,"<i>At London</i> Printed for Tho<i>mas Hacket, and are to be solde at</i> his shop in Lumberd streete, vnder the Popes head. Anno. 1585."
65,IMPRINTED at LONDON  by Edward Allde. 1585.
66,AT LONDON  Printed by Robert Robinson. 1587.
67,<i>Imprinted at London by Rychard Ihones and are to be solde without Newgate ouer against Saint Sepulchers Church</i>. 1576.
68,"Printed at London by T. E. <i>for</i> Thomas Woodcocke, <i>at the</i> Signe of the black Beare in Paules Churchyard. 1588. Plura Posthac."
69,"<i>AT LONDON</i> Printed by <i>E. A.</i> for <i>Edward White</i>, and are to be solde at the little North <i>doore of</i> S. Paules <i>Church at the</i> signe of the <i>Gunne. 1589.</i>"
70,"L<small>ONDON</small>. Printed by R. Ihones, at the Rose and Crowne neere Holburne Bridge. 1590."
71,"<i>LONDON</i> Printed for Edward White, and are to be solde at the little North doore of Saint Paules-<i>Church, at the signe of the Gunne</i>. 1605."
72,"LONDON <i>Printed by</i> E. A, <i>for</i> Ed. White, <i>and are to be solde</i> at his Shop neere the little North doore of Saint Paules Church at the Signe of the Gun. 1606."
73,London. 1590.
