id,label
0,"Ut magnum magnos, pueros puerilia deocus."
1,"Et magnum magnos, pueros perilia decus."
2,"Haud fraustrà Spero. Comœdia, Imitatio Vitæ: Speculum Consuetudinis: Imago Veritatis. Cic."
3,"<i>O Vita! misero longa, fœlici breuis</i>."
4,<i>Aetas prima canat veneres postrema tumultus</i>.
5,"<i>Carmen amat, quisquis carmine digna gerit</i>."
6,"<i>Carmen amat,  quisquis carmine digna gerit</i>."
7,<i>Omne tulit punctum</i>.
8,[in single column] <i>Non aliena meo pressi pede</i> | * <i>si propius stes</i> || <i>Te capient magis</i> | * <i>& decies repetita placebunt</i>.
9,<i>Non aliena meo pressi pede</i> | * <i>si propius stes</i> || <i>Te capient magis</i> | * <i>& decies repetita placebunt</i>.
10,"<i>Quod non dant  proceres, dabit Histrio. Haud tamen inuidias vati, quem pulpita pascunt</i>."
11,"Quod non dant Proceres, dabit Histrio. Haud tamen inuideas vati, quem pulpita  pascunt."
12,<i>Et mihi de nullo fama rubore placet.</i>
13,"[in single column] <i> --- Patresq</i>; <i>seueri</i>. | <i>Fronde comas vincti cænant, et carmina dictant</i>."
14,<i>Non recito cuiquam nisi</i> Amicis <i>idq</i>; <i>coactus</i>.
15,Omne tulit punctum qui miscuit vtile dulci.
16,"Ovid. Siqua velis aptè, nubere, nube pari. [running vertically on left] <i>Si Deus pro nobis, quis contra nos?</i> [running vertically on right] <i>Beati qui in Domino moriuntur</i>."
17,"OVID. <i>Si qua  voles aptè nubere, nube pari.</i>"
18,"[in single column] Mart. <i>Templa Deis, mores populis dedit, otia ferro,</i> | <i>Astra suis, Cœlo sydera, serta Ioui</i>."
19,"[in single column] Mart. <i>Templa Deo, mores populis dedit, otia ferro,</i> | <i>Astra suis, Cœlo sydera, serta Iouæ</i>."
20,"[in single column] M<small>ART</small>. Non hîc <i>Centauros</i>, non <i>Gorgonas</i>, <i>Harpyasq</i>[<i>ue</i>] | Inuenies: Hominem pagina nostra sapit."
21,"<i>Discite Io pean, Io bis discite pean</i>."
22,"<i>Iam veniet Virgo, iam dicetur Hymenæus</i>."
23,"Et Studio, et Labore."
24,<font color=#FF0000><i>Vexat Censura  Columbas.</i></font>
25,"<i>Qui Alios, </i>(<i>seipsum</i>) <i>docet</i>."
26,"<i>Qui Alios</i>, (<i>seipsum</i>) <i>docet</i>."
27,<i>Qui Alios</i> (<i>seipsum</i>) <i>docet</i>
28,<i>Qui Alios </i>(<i>seipsum</i>) <i>docet</i>.
29,"— <i>Simul & iucunda, & idonea dicere vitæ</i>."
30,"[in single column] <i>Lectori</i>. | <i>Sydera iungamus, facito mihi Iuppiter adsit</i>, | <i>Et tibi Mercurius noster dabit omnia faxo</i>."
31,"<i>Et memorem famam, quæ bene gessit, habet</i>."
32,<i>Sume superbiam quesitam meritis</i> Horat.
33,<i>Hor</i>: <i>Sume Superbiam quesitam Meritis.</i>
34,"[in single column] ———<i>His non Plebecula gaudet</i>. | <i>Verum  Equitis quoq</i>[<i>ue</i>], <i>iam migrauit ab aure voluptas,</i> | <i>Omnis, ad incertos oculos, & gaudia vana</i>."
35,"[in single column] <i>-------His non Plebecula gaudet.</i> | <i>Verum Equitis quoq</i>[<i>ue</i>] <i>jam migravit ab aure voluptas,</i> | <i>Omnis, ad incertos oculos, & gaudia vana</i>."
36,<i>Si natura negat faciat Indagnatio versnm</i>.
37,"<i>Nemo sapiens, Miser est</i>."
