id,label
0,whiche interlude yf y<sup>e</sup> hole matter be playde wyl conteyne the space of an hour and a halfe/ but yf ye lyst ye may leue out muche of the sad mater as the messengers p[ar]te and some of naturys parte and some of experyens p[ar]te/ & yet the matter wyl depend conuenyently/ and than it wyll not be paste thre quarters of an hour of length.
1,[in single column] The players names. | Iupiter a god. | Mery reporte the vyce. | The gentylman. | The marchaunt. | The ranger | The water myller. | The wynde myller. | The gentylwoman. | The launder. | A boy the lest that can play.
2,[in single column] The players names. | Iupiter a god. | Mery  reporte the vyce. | The gentylman. | The marchant. | The ranger. | The water myller. | The wynde myller. | The gentylwoman. | The launder. | A boy the lest that can play.
3,"[in single column] The players names. | Iupiter a God. | Mery report the vice | The Gentylman. | The marchaunt. | The ranger. | The water myller. | The wynde Myller. | The Gentylwoman. | The Launder. | A boy, the least that can play."
4,[in single column] The players names | Iupiter a God. | Mery report the vyce. | The Gentleman. | The Marchante. | The Ranger. | The Water Miller. | The Winde Miller. | The Gentlewoman. | The Launder. | A boye the leste that can playe.
5,The players names. [in single column] A man a louer not beloued. | A woman beloued not louyng. | A man a louer and beloued. | The vyse nother  louer nor beloued.
6,"Interlocutores. [in double columns] Pater cœlestis. Adam primus homo. | Iustus Noah.  Abraham fidelis. | Moses sanctus.  Dauid rex pius. | Esaias propheta.  Ioannes Baptista. [in single column, centered below others] Baleus Prolocutor."
7,<i>Interlocutores</i>. [in double columns between pointed brackets] Pater cælestis.  Adam primus homo. | Iustus Noah.  Abraham fidelis. | Moises sanctus.  Dauid Rexpius. | Esaias Propheta.  Iohannes Baptista.
8,"[in single column, centered above others] Interlocutores. [in double columns] Iesus Christus.  Satan tentator. | Angelus primus.  Angelus alter. [in single column, centered below others] Baleus Prolocutor."
9,"The Players names. [in double columns] Deus Pater,  Nature lex. | Moseh lex.  Christi lex. | Infidelitas,  vel Euangelium, | Idolatria,  Sodomismus | Ambitio,  Auaricia, | Pseudodoctrina,  Hypocrisis. | Uindicta Dei,  Fides Christiana. [in single column, centered below others] Baleus Prolocutor."
10,"The Names of the players. [in triple columns] Welth.  Ilwyll.   Hance. | Helth,  Shrowdwyt.  Remedy | Lybertie. [in single column, centered below others] Foure may easely play this Playe. [<i>var</i>.: ""foure""]"
11,"Foure men may well and easelye playe thys Interlude. Peace and Coll hassarde and Cōscyence, for one man. Haboundaunce and mysrule for another man. Imapaciente pouerte, Prosperyte, and pouerte, for one man. Enuye and the sommer for another man."
12,"Foure men may well and easely playe it. Peace, Coll hassarde and Concience for one man. Haboundaunce and Mysrule for a nother man. Imapacient pouerte, Prosperyte, & pouerte, for one. Enuy and the Somner for a nother man."
13,[in single column] Personages. | The messenger. [in double columns] Barnabas.  Iniquitie baily errand. | Ismael.  Xantipe. | Dalila.  Worldly shame. | Eulalia.  Daniel the iudge.
14,"[in single column] Players. | The messenger. [in double columns] Barnabas.  Iniquitie, bayly arrant. | Ismael.  Xantippe. | Dalila.  Worldly shame. | Eulalia.  Daniel the Iudge."
15,The names of the players. [in double columns] The prologue   Pryde. | King Assuer[us].  Adulation. | iii. gentlemen   Ambition. | Aman.  Hardy dardy. | Mardocheus   A Iewe. | Hester.   Arbona. | Pursueuant.   Scriba.
16,The Players names. [in single column] Maysters. Boungrace.  A galant | Dame coye.  A Gentlewoman | Iacke Iugler.  the vyce. | Ienkin careaway   A Lackey. | Ales trype and go   A mayd.
17,The Players names. [in two columns] Mayster Boungrace   A galant | Dame coye   A Gentlewoman | Iacke Iugler   The vyce | Ienkin careaway   A Lackey. | Ales trype and go   A mayd.
18,The names of the Players. [in double columns with pointed brackets] Maister Boungrace   A Gallant | Dame Coy  A Gentlewoman | Iacke Iugler   The Uice | Ienkin Careaway   A Lackey. | Alice trip and go   A Maid.
19,The names of the players [in single column] Thersites  A boster. | Mulciber  A smyth. | Mater  A mother. | Miles  A knyght. | Telemachus  A childe.
20,"Sett forthe as the same was shewed before the <i>QVENES</i> most excellent Maiestie, in her highnes Court of Whitehall, the .xviii. day of Ianuary, <i>Anno Domini</i>. 1561. By the Gentlemen of Thynner Temple in London."
21,"set forth without addition or alteration but altogether as the same was shewed on stage before the Queenes Maiestie, about nine yeares past, <i>vz</i>. the xviij. day  of Ianuarie. 1561. by the gentlemen of the Inner Temple. Seen and allowed. &c."
22,"Set forth as the same was shewed before the Queenes most excellent Maiesty, in her highnes Court of Whitehall, by the Gentlemen of the Inner Temple."
23,"[in single column] The names of the Players. | The Prolocutor. [in double columns] Iniquytie.  Charytie. |  Importunytie.  Parcyalytie. |  Equytie.  Daryus kynge. | Agreable.  Perplexitie. | Preparatus.  Curyosytie. | Iuda.  Persya. | Medey.  Aethyopia. | Constancie.  Optymates. | Anagnostes.  Stipator primus. | Stipator secūdus.   Zorobabell. [in single column, centered below others] Syxe persons may easely play  it."
24,"[in single column] The names of the Players. | The Prolocutor. [in double columns]  Iniquitie.  Charitie. |  Importunitie.  Parciallitie. |  Equitie.  Daryus King. | Agreeable.  Perplexitie. | Preparatus.  Curyositie. | Iuda.  Persia. | Medey.  Aethyopia. | Constancie.  Optimates. | Anagnostes.  Stipator prymus. | Stipator secūdus.   Zorobabell. [in single column, centered below others] Syx persons may easily play it."
25,"[in single column] The Personages that speake, | Messenger. |  Lusty Iuuentus | Good councell. | Knowledge. | Sathan the Deuyl. | Hypocrisie. |  Felowshyp. | Abhominable liuing. | Gods mercyfull promyses | Foure may play it easely, takyng such partes as they thinke best: so that any one tak of those partes that be not in place at once."
26,"[in single column] The names of the players. | Messenger. | Lusty  Iuuentus. | Good Counsell. | Knowledge. | Sathan the deuill. | Hypocrisy. |  Felowship. | Abhominable lyuing. | Gods mercifull promises. | Foure may play it easely, taking such partes as they thinke best: so that any one take of those partes that be not in place at once."
27,"[in single column] The parsonages that speake. | Messenger. |  Lusty Iuuentus. | Good counsaill. | Knowledge. | Sathan the deuyll. |  Hypocrisie. | Felowship. | Abhominable lyuing. | Gods mercifull promises. |  Foure may play it easely, taking such partes as they thinke best: so that any  one take of those partes that be not in place at once."
28,"The names of the Players. [in double columns] Infidelitie the Uice.  The Lawe. | Marie Magdalene.  Knowledge of sinne. | Pride of life.  Christ Iesus. | Cupiditie.  Fayth. | Carnall Concupiscence.  Repentaunce. | Simon the Pharisie.  Iustification. | Malicious Iudgement.  Loue. [in single column, centered below others] Foure may easely play this Enterlude."
29,"The players names. [in quadruple columns] The Uice,  Clytemnestra.   Sodyer.  Truthe. | Rusticus.  Halltersycke.   Nobulle.  Fame. | Hodge.  Hempstryng.   Nature.  Hermione. |  Hrorestes  Nestor.  Prouisyon.   Dewtey. | Idumeus.  Menalaus.  Harranld.   Messenger. | Councell.  A  woman.  Sodyer.  Egestus. | [aligned with fourth column] Commones. [in single column] The names deuided for  vi. to playe. | The fyrst the Uice and Nature. and Dewtey. 3. | 2. Rusticus.  Idumeus. 2. Sodyer. Menelauus. & Nobulles. 5. | 3. Hodge. Councell.  Messenger. Nestor. & Commones. 5. | 4. Horestes. a woman. & Prologue.  3, | 5. Haulltersicke. Sodyer. Egistus. Harrauld. Fame. Truth and Idumeus. 7. | 6. Hempstrynge. Clytemnestra. Prouisyon. & Hesmione. 4."
