id,label
0,Hycke scorner.
1,[no title page]
2,Here begynneth a treatyse how y<sup>e</sup> hye fader of heuen sendeth dethe to somon euery creature to come and gyue a counte of theyr lyues in this worlde and is in maner of a morall playe.
3,Here begynneth a treatyse how the hye fader of heuen sendeth dethe to somon euery creature to come and gyue a counte of theyr lyues in this worlde and is in maner of a morall playe.
4,Here begynneth a propre newe Interlude of the worlde and the chylde/ otherwyse called [Mundus & Infans] & it sheweth of the estate of Chyldehode and Manhode. Mundus.
5,[HT] A new iuterlude and a mery of the nature of the .iiii. elementes declarynge many proper poyntes of phylosophy naturall/ and of dyuers straunge landys/ and of dyuers straunge effectes & causis/
6,[HT] A new cōmodye in englysh in maner Of an enterlude ryght elygant & full of craft of rethoryk/ wherein is shewd & dyscrybyd as well the bewte & good propertes of women/ as theyr vycys & euyll cōdiciōs/ with a morall cōclusion & exhortacyon to vertew
7,"Magnyfycence, A goodly interlude and a mery"
8,[HT<sup>2</sup>] The translacyon out of latin into englysh of the furst comedy ... callyd Andria.
9,[HT] A mery play betwene Iohan Iohan the husbande/ Tyb his wyfe/ & syr Ihān the preest.
10,[HT] A mery play betwene the pardoner and the frere/ the curate and neybour Pratte.
11,The play of the wether. A new and a very mery enterlude of all maner wethers
12,The Play of the Wether. A New and a very mery enterlude of al maner wethers
13,The playe of the weather. A newe and a very merye enterlude of al maner wethers
14,"A play of loue, A newe and a mery enterlude concernyng pleasure and payne in loue,"
15,"[HT] Thenterlude of youth,"
16,[HT] Thēterlude of youth.
17,[HT] The Enterlude of Youth.
18,The playe called the foure PP. A newe and a very mery enterlude of A palmer. A pardoner. A potycary. A pedler.
19,The playe called the foure P  A new and very mery enterlude of A Palmer. A  pardoner. A Poticary. A Pedler.
20,The Play called the foure P. A very mery Enterlude of A Palmer. A Pardoner. A Poticary. A Pedler.
21,"A Tragedye or enterlude manyfestyng the chefe promyses of God vnto man by all ages in the olde lawe, from the fall of Adam to the incarnacyon of the lorde Iesus Christ. ... In the worde (whych now is Christ the eternall sonne of God) was lyfe from the begynnynge, and that lyfe was the lyght of men. Thys lyght yet shyneth in the darkenesse, but the darkenesse comprehendeth it not. Ioannis primo."
22,"A TRAGEDIE OR <i>Enterlude, manifesting the chiefe</i> promises of God vnto man, by all ages in the olde  Lawe, from the fall of Adam to the Incarnation of the Lorde Iesus Christe. ... Iohn.I. <i>In the </i>w<i>orlde (which no</i>w<i>e is Christ the eternall sonne of God) was life from the beginning, and that life was the lyght of men. The lyght yet shineth in the darknesse, but the darknesse comprehendeth it not.</i>"
23,"A brefe Comedy or enterlude concernynge the temptacyon of our lorde and sauer Iesus Christ, by Sathan in the desart. ... Iesus was led from thens of the sprete into the wyldernes, to be tempted of the deuyll. And whan he had fasted fourty dayes and fourty nyghtes, he was at last an hungered. Mathei iiij."
24,"A Comedy concernynge thre lawes, of nature Moses, & Christ, corrupted by the Sodomytes. Pharysees and Papystes."
